index,private write key cipher size,public write key size,data cipher size,signature size,plaintext size,package size
77cd7feb-054a-450d-add2-4ea1839d1bda,3494,82,34942393,64,34939015,46594903
a30ac693-2258-4dc0-98c0-b527120e1589,3494,82,34936521,64,34933150,46587071
1faed0be-8e07-47a7-b00d-8ae588d6b206,3494,82,34927625,64,34924253,46575211
de228cab-19f3-460b-b4f3-b8ebb3b3fdb8,3494,82,34935625,64,34932250,46585879
7243fb73-888d-41ae-bf8e-075827d3c200,3494,82,34950185,64,34946810,46605291
b68e0d20-bebe-48c4-b88e-473e171d1c5a,3494,82,34883657,64,34880278,46516587
681e1c89-0669-4b43-b1a5-6a54a2cd727b,3494,82,34961097,64,34957721,46619839
83737dc9-d208-42f8-a164-d167cfa387cf,3494,82,34918105,64,34914721,46562519
a26e8894-b0dc-4fe0-939e-b89a75f8597f,3494,82,34967897,64,34964516,46628907
398335cc-275d-4111-8924-1b59b6860dc0,3494,82,34924937,64,34921559,46571627
0bf1f8eb-e1db-49d7-9d5e-a154464b62a5,3494,82,34945097,64,34941718,46598507
7a638a79-3666-4356-8f94-396387906ab4,3494,82,34921849,64,34918464,46567511
ea04191d-ac99-46d9-b7f5-accfac9d92e4,3494,82,34923129,64,34919745,46569215
9942710c-e09c-4127-b675-a961ee41946c,3494,82,34928057,64,34924674,46575787
9454edcf-332c-4115-adac-be6038cbe7a9,3494,82,34895769,64,34892394,46532735
be89a393-26c4-40b1-b553-e5b1f5e831ac,3494,82,34901369,64,34897985,46540203
2915281f-98e4-410e-bcf6-83634973cf53,3494,82,34925417,64,34922036,46572267
07c28d6a-6b0c-468f-b028-61a4370cab80,3494,82,34922793,64,34919421,46568767
4de71451-96d9-4d4a-9690-03da5e256231,3494,82,34910889,64,34907515,46552894
238b1e0d-29ea-45f1-bd80-6f349f8be99e,3494,82,34917897,64,34914519,46562239
b4bc9f1a-2ae9-4e3e-ad58-93d58e5f6033,3494,82,34939561,64,34936181,46591127
d73daf1f-2f99-49e9-8026-771c322fc488,3494,82,34925785,64,34922406,46572759
2741fc3e-c997-474f-bf8e-6339e87e831b,3494,82,34917401,64,34914023,46561579
89136529-bb4c-4339-afba-568f5ac44eaf,3494,82,34903049,64,34899669,46542443
5625c51c-5809-4aa2-897d-610a8aa50dec,3494,82,34933337,64,34929962,46582827
dea77a90-bfbe-4414-b5af-6599150f6757,3494,82,34935449,64,34932070,46585643
21b97565-a9c1-4672-b268-686ddfbfe136,3494,82,34915609,64,34912227,46559191
7b0cc6e4-ed0f-48fe-93ec-3b184e9507b3,3494,82,34913721,64,34910349,46556671
7bf07508-0b09-43cd-b0e5-ae69ac1ec998,3494,82,34885993,64,34882616,46519703
30b0947d-5a24-4b18-89bf-c72debf9182d,3494,82,34967513,64,34964137,46628395
99e7b979-8db0-4b8d-ac27-61e695bedc3f,3494,82,34918857,63,34915482,46563515
79b4a9bd-ea59-4cc7-b71b-3c500c519c62,3494,82,34946025,64,34942642,46599743
7615ba22-b58b-45bc-b834-50f4aed3af18,3494,82,34951321,64,34947944,46606807
f128b7a9-3c0c-4f34-bb73-bdd7f84ed278,3494,82,34901353,64,34897970,46540183
d0e68e0a-5054-4023-b661-469e2ebe7dc9,3494,82,34981161,64,34977784,46646590
da671f7e-8fc0-466a-9a48-d2a77624741d,3494,82,34942793,64,34939413,46595435
6bb05c2e-2cb8-443f-803d-848246e19aac,3494,82,34930649,64,34927272,46579243
3dd15e01-4493-4e16-ae22-531a58e4266b,3494,82,34888985,64,34885615,46523691
912c0f75-13e1-4f77-856b-30e8d6d1e18b,3494,82,34910377,64,34906998,46552215
16d6a186-c2ce-4d6c-b700-2e0df0447112,3494,82,34901737,64,34898354,46540695
a8e0b07b-7ae6-4820-b11c-47ebeb8aa52b,3494,82,34891513,64,34888142,46527063
5d928efa-72a1-4c67-8656-9201cc361c21,3494,82,34938841,64,34935459,46590167
52fe69f9-7562-45e5-b6ed-b0bc68d0e112,3494,82,34909401,64,34906026,46550911
e1cfb2a8-d4b1-47b7-9c9c-869a866e9ee7,3494,82,34962313,64,34958942,46621463
734716eb-7eb9-440b-a1b7-90f79ccb9484,3494,82,34937929,64,34934555,46588951
67d8792c-1274-4f17-9492-2ffca6d56321,3494,82,34912025,64,34908644,46554410
9e3bc3ed-8d6c-416c-a44d-141bf38c5b6a,3494,82,34944457,64,34941083,46597655
a3129344-cf53-414b-b3d6-c7a804f09a93,3494,82,34940313,64,34936928,46592127
427780f4-aabf-4207-99c9-8f96169643b9,3494,82,34894665,64,34891293,46531263
cd0f35ee-9af6-46d3-9d20-0a9202323a94,3494,82,34910089,64,34906708,46551830
9a463131-162e-45dd-a5ee-a2eaa3226282,3494,82,34917305,64,34913932,46561451
ddc9bb76-3dac-4494-a97d-6d358beab1b4,3494,82,34920825,64,34917441,46566143
cdc10cc0-58a7-4997-b3e2-9d82a6bc4ba7,3494,82,34917369,64,34913991,46561535
e455831c-fd02-4ab5-b103-19328be4cb56,3494,82,34938905,64,34935535,46590251
