index,private write key cipher size,public write key size,data cipher size,signature size,plaintext size,package size
a1aef2dd-50b1-4573-a78e-69bd53e3062e,3494,82,38039,64,34669,55763
e1d9ac29-8495-44f0-913c-13f06d18fea1,3494,81,39015,64,35639,57059
6bbd1d8a-fa0d-4abe-93be-3192808bc0a5,3494,82,38951,64,35583,56978
b14e6cf3-7a80-49a7-ba83-4df5b27fd1da,3494,82,39511,64,36136,57727
7a617174-1928-44ad-a624-9485d98e49f7,3494,82,39351,64,35981,57511
b320a03f-b4ae-4d5a-8a80-46aed26dbd32,3494,82,39079,64,35703,57149
e9f68df8-4e77-486a-ad80-754888f30301,3494,82,38807,64,35427,56787
e2c50b9f-71ba-43fd-96ff-715339df50b7,3494,82,39127,64,35749,57215
e42808fc-5209-4620-9034-cec353a922b5,3494,82,37607,64,34238,55187
b39a1de5-d1ab-46a5-bcf7-a46a24065919,3494,82,37943,64,34575,55635
2a4fe610-4e21-403b-84da-72fc040d3457,3494,82,39079,64,35707,57151
9bad7f66-b6be-4fc2-bfcc-e6f6df2adeef,3494,82,38919,63,35540,56931
8471851c-e10f-46c8-a408-3ac468c4cccd,3494,82,40183,64,36806,58622
d843b14e-d82f-4bdc-9693-8f303a8ad1bb,3494,82,38455,64,35085,56319
6bbf6c4a-f63f-43ff-ae27-0d400605bd48,3494,82,39351,64,35983,57511
71ca50ab-d6c6-4c84-86de-d6bc7d8ced28,3494,82,38359,64,34984,56191
cccb29f5-5fbc-4919-8e1c-d8b987377572,3494,82,38567,64,35194,56467
34c976cf-67a1-4b70-b7c1-ec39b96c3502,3494,82,39095,64,35720,57171
12b5abe9-73f3-4e6d-bb0a-d685dfa1ad3e,3494,82,38439,64,35057,56295
a62e6f75-c8cd-44f0-b99b-be9b054856c6,3494,82,38903,64,35535,56915
0f65c597-46f4-4fcc-9b78-660af9d3b03e,3494,82,38551,64,35180,56447
8c9c2ff0-2825-4b2f-a3c9-29ad942bbe0a,3494,82,38407,64,35034,56255
a10aeb38-c696-400b-8928-b0b7c11ab21e,3494,82,39527,64,36156,57747
480530ff-dba8-4570-9c49-eaad82d7e6dd,3494,82,38663,64,35288,56595
1ebe0646-adc3-491a-89bc-a6adedfe03a5,3494,82,39527,64,36155,57747
8534c167-1d9c-43cb-8859-e60db40904d3,3494,82,39751,64,36379,58047
efb735c9-1049-4d4c-a36e-5a4c7e579855,3494,82,38615,64,35233,56531
baaa2f68-e6ed-4887-8ec0-f73422ba9555,3494,82,38855,64,35487,56851
4585a1a9-783c-4449-9bac-1fb49322bbf9,3494,82,38423,64,35046,56275
1ac46558-7bc5-44c4-89be-085d696d1c75,3494,82,39575,64,36197,57811
5f005181-7144-4536-ba03-487fd016f3e0,3494,82,39639,64,36262,57895
89563f37-2af4-4ad7-beee-bcfe33758bf9,3494,82,40151,64,36771,58578
e6728ab0-98be-4cc2-b767-481c2bb919d9,3494,82,38343,64,34972,56167
27354178-ee60-4d3e-9a75-dbc2f0a4892b,3494,82,38551,64,35171,56447
960513bb-a28b-457c-9e62-451f1d5551c6,3494,82,37991,64,34620,55699
04fdd64d-ea06-4347-8f0b-4d967bd7d160,3494,82,39159,64,35776,57255
e9dd3465-95ba-400d-bd51-6c969af6c964,3494,82,39399,64,36024,57575
e6eb607a-caee-4be4-904c-009cdbb3d15b,3494,82,39303,64,35920,57447
5852e117-e5bd-4a5f-9046-303ed0ae23ad,3494,82,38471,64,35093,56339
746779bf-ac86-48e2-abee-5a1e5e5f27cd,3494,82,39383,64,36005,57555
af66fe20-77f8-461a-87de-7be4060e5698,3494,82,39863,64,36487,58195
a6a202ef-be4d-40f9-aed6-7d1fafc5f7c2,3494,82,37799,64,34429,55443
0561ca9d-270f-4c80-a14d-80695e25360f,3494,82,38807,64,35439,56787
34597c3b-e7bd-4676-a1e4-22772f42c2af,3494,82,37975,64,34597,55679
b90e85e8-87d5-4714-9628-b4687be068b4,3494,82,39431,64,36062,57619
6d92a092-ce94-4d74-965e-9bc584738754,3494,82,39959,64,36589,58323
ac18623d-135e-42f4-9615-623742f1da1d,3494,82,39463,64,36088,57663
226dd4d7-5ceb-4cc4-9a72-b6f9fa077772,3494,82,38391,64,35011,56231
9bb6afd2-5f30-453d-96b5-09a9e0eed79a,3494,82,38791,64,35411,56767
a3a9aef9-5019-4a8f-b3d7-0dc67a364e9b,3494,82,38999,64,35629,57043
ac123510-e8c3-44cd-a66f-3a662169b4fb,3494,82,39031,64,35656,57086
ceeb048c-8398-4575-8c56-14e55af6da48,3494,82,38791,64,35412,56767
43b33591-1def-4d3b-bb68-4f6c96b72c84,3494,82,37671,64,34299,55270
1e1bd929-d109-4e8a-b5c7-82c55c3aaa37,3494,82,37351,64,33970,54847
a1b9d11a-7aa6-4daa-aa89-811d539a2e8d,3494,82,39623,64,36248,57875
df8e5c8f-bd21-4157-a4ae-3e1e6697613e,3494,82,37799,64,34419,55443
f49a63fc-81d3-49f8-b01d-3477e369ff75,3494,82,39351,64,35983,57510
ef0f1951-32ff-4ebe-8044-3a6f53cb78ff,3494,82,38983,64,35606,57023
5e3c1b7d-3612-49c2-81c4-f4b29ff4a6e8,3494,82,37703,64,34324,55315
0acb2123-3f10-4cc5-b7d4-33b85ae6befd,3494,82,37959,64,34588,55655
f4f1f95a-d06a-4848-84ff-9281863071a9,3494,82,38535,64,35156,56423
e42bf322-2e09-4426-8925-d9eeb2661ba8,3494,82,38663,64,35291,56595
bd2427a8-3940-4bb2-bc62-981375e8aa12,3494,82,37719,64,34343,55334
b08f49b0-f7da-4012-be42-669a090cb03f,3494,82,38855,64,35474,56851
c2165cc3-3c57-4619-91d1-8bd661ebbe33,3494,82,38711,64,35342,56659
1d2f2cbc-ff96-4544-8729-5a969cda63a3,3494,82,39863,64,36489,58195
78f5112f-15e5-416d-b714-e0aea45fb96d,3494,82,39351,64,35980,57511
2ad60eb0-75cc-404b-a2ff-0a23433a9dd2,3494,82,39479,64,36097,57683
1ec2457b-5ac9-4d34-a76a-e8f153e5dedc,3494,82,38663,64,35295,56595
44f89374-f864-4e73-af47-c5458a552196,3494,82,39751,64,36378,58047
d602537a-1905-4344-bc29-1353f1ca995c,3494,82,38343,64,34964,56167
01081dd1-6874-4c23-a767-35a94d9b280a,3494,82,39671,64,36302,57939
08cd1719-1115-402a-825b-885f6e084a3a,3494,82,39239,64,35869,57363
eef5a4ed-d7e0-4379-9244-dcd400d136ed,3494,82,38183,64,34805,55954
ea098c5f-e690-4907-9935-2ebc613a1aab,3494,82,39863,64,36487,58195
5a66a9c2-1b3d-4d38-8c5b-29bc066bc662,3494,82,38615,64,35243,56531
99ca5d8c-26ee-48b5-8360-e31d106f780d,3494,82,38359,64,34982,56191
2b9749fb-9f24-4719-a222-e086d27a8778,3494,82,38615,64,35241,56531
e97bce7b-1c51-41d5-930f-4e04eac46838,3494,81,38375,64,34997,56207
2d08ae9a-3ed8-4f58-9260-b6778ab86d51,3494,82,38023,64,34642,55743
a2f1665a-f51a-4426-b1ed-8127b1f09901,3494,82,39703,64,36329,57982
674a1ae8-312a-44ef-a7ed-459455fb6c49,3494,82,38007,64,34637,55719
c7d067f3-f4c2-4957-a8fa-b04f9404a4ab,3494,82,39335,64,35956,57490
d175929e-4921-434c-920d-1bedd7b20e1b,3494,82,37351,64,33968,54847
163cff99-e0ff-48e2-b18a-250200519d02,3494,82,39079,64,35705,57151
f83c167a-6e1a-4aaa-b47f-94f5cff28e83,3494,82,38583,64,35214,56487
090f834e-4dfd-47c8-8cac-ce9c51bc8ae9,3494,82,39063,64,35695,57127
cc25b7a4-377a-4140-87cd-3d44b950a3bd,3494,82,38823,64,35453,56807
d57dcb3c-9c4b-4f50-93f0-0aa001873906,3494,82,37991,64,34615,55699
64c2fb78-01d5-42c9-93e2-ef849109925b,3494,82,38167,64,34796,55934
1fa5fd68-7f17-4927-8613-f08c4128d51c,3494,82,38535,64,35153,56423
e9691606-b745-41d1-8fd3-c011c9e37279,3494,82,38679,64,35311,56615
ffab9dde-8d74-4f8f-af15-a8550e0cbd13,3494,82,39335,64,35955,57491
06fa7ba9-6dea-4063-8c1f-8cb5bd270ed3,3494,82,38071,64,34700,55807
19d179c6-b78b-49b6-8b25-9c830bc527d1,3494,82,37495,64,34126,55039
27868d57-d926-4f7a-acd5-b52fe2dfccd6,3494,82,39335,64,35965,57491
0adec702-cf4b-472e-b646-23ac2e33a56e,3494,82,38583,64,35201,56487
5134a16a-0c59-4a4d-96be-d48c0a0348dc,3494,82,37479,64,34102,55015
f195d629-f1b7-4d29-82de-5ebdcc94cd48,3494,82,39191,64,35821,57299
180606a5-c7a8-4dcf-946c-febc36cd4a75,3494,82,38743,64,35373,56703
4eedc9e4-292a-4c3d-9bda-22f36c2a0010,3494,82,38183,64,34814,55955
a88e4f1c-d829-4ba6-a129-92429011efd9,3494,82,40087,64,36718,58495
b66ba4fd-ee44-4568-a0e0-60de5f2de05b,3494,82,39447,64,36077,57639
981beb0a-aec5-46ff-8eb2-c8b0b7b1660b,3494,82,38855,64,35483,56851
