index,private write key cipher size,public write key size,data cipher size,signature size,plaintext size,package size
c9f7441b-8e3b-4bef-b09f-af8e85d490d4,3494,82,3815,64,444,10130
7b6a0478-344b-4a7b-9cac-3cfa2ce0ae73,3494,82,3799,64,429,10111
b2a46e6f-1f32-41a3-bda7-c973cfed5af5,3494,82,3815,64,443,10131
30c0b86c-1238-419c-8f0a-690d9571b7e7,3494,82,3735,64,365,10023
ab71780a-e7f8-459d-8da0-fc60b8600fc6,3494,82,3687,64,313,9959
a97a710f-33ff-427a-ad77-5fa37fd18584,3494,82,3831,64,460,10150
3dc19559-15d4-4cb1-8f23-cfa7500f91f3,3494,82,3671,64,289,9938
47e78df3-7a94-4cb1-adbe-fbbc235894cc,3494,82,3751,64,371,10047
e3bebf41-8784-4855-9c9e-2c3dff7452e7,3494,82,3815,64,444,10131
35655b50-a1eb-4d25-b1bf-b54f31ece47f,3494,82,3751,64,381,10047
09ceba3a-810f-45ad-8109-f68caa615be6,3494,82,3767,64,384,10067
59b0cfcd-a46a-4ce0-a024-353e1917a54a,3494,82,3831,64,453,10151
4f318ca9-3685-4365-9649-8ff0b5726acb,3494,82,3815,64,435,10131
807e8853-45c0-4b9a-9d41-33f122f161c5,3494,82,3703,64,326,9983
9f6ff667-ae77-49d2-a9c2-b05853d28ff8,3494,82,3703,64,326,9982
a7b9848e-6c7f-45d6-b280-39da2da19b9f,3494,82,3783,64,403,10087
feee1dbb-92f5-49d0-8245-a93dcc9cc5bd,3494,82,3783,64,401,10087
c47c4df2-655a-48e3-bc38-1a8d7e02cb6b,3494,82,3671,64,295,9939
02688c8e-c043-4fd7-b842-6c03f61e7f30,3494,82,3799,64,416,10111
8f9d7d5e-3715-45f4-829a-75742d732ebe,3494,82,3639,64,268,9895
0e0c4bce-412e-47c3-880e-dde706db048e,3494,82,3863,64,480,10195
518514c6-01ad-4b49-865f-5b58f1172776,3494,82,3831,64,449,10151
e906b454-8f57-4096-857e-4bc23cfb6bf7,3494,82,3719,64,346,10003
553bb79b-523b-42f2-a3a2-1855670962dc,3494,82,3863,64,484,10195
41e740ce-7c71-4781-9079-a739df36a5d2,3494,82,3767,64,396,10067
d0f969bd-3050-4369-8a46-315df0fdd23d,3494,82,3623,64,242,9875
99ef0ce3-5622-4c57-9a10-4bf056a4f1f1,3494,82,3687,64,319,9959
67c35b2e-7861-4a56-b25d-dad74865ad82,3494,82,3623,64,250,9875
c376a44c-4d53-4519-8aaa-3f6f51a21a14,3494,82,3735,64,366,10023
b3f942a1-53da-4067-9f11-40316471faf2,3494,82,3687,64,305,9959
6bb9ceb0-5178-4a3a-afe2-2e4ea175f205,3494,82,3767,64,397,10067
b7ad9da8-3d9f-43d8-9af0-c3197af625ff,3494,82,3783,64,409,10087
4260d642-c48d-40c8-b85c-b8287e4d7803,3494,82,3815,64,441,10131
0862fa06-359f-4004-bd42-bdcf01915e7d,3494,82,3879,64,497,10214
27056992-224f-4082-bda1-61a1c2a1f660,3494,82,3751,64,380,10047
3d11fcf0-08b5-4fdf-b46f-50f470a3c770,3494,82,3671,64,289,9939
ebdc9de8-b44d-47a5-8dd2-0a34cf3c7713,3494,82,3639,64,266,9893
