index,private write key cipher size,public write key size,data cipher size,signature size,plaintext size,package size
51f267f6-620a-47c9-a084-c398db2d5a44,4189,168,36276800,64,36272730,48375151
c9ede96c-8cd1-4c85-b363-764492846dcb,4189,170,36267680,64,36263612,48362995
2ff06cc4-29d4-406d-97d5-e15563e52276,4189,169,36278064,64,36273987,48376839
e914f7d6-790f-4a1f-9131-4f1c3b621d1e,4189,171,36262528,64,36258452,48356127
d4e6b71b-cdf0-413a-9156-b2cfecd9fa13,4189,171,36261296,64,36257219,48354483
b5a396b4-a031-421a-93e9-ee91b39bbc3c,4189,170,36243552,64,36239480,48330823
c2e6b3d2-76b3-4fc4-9d45-8ac38522cb61,4189,169,36258320,64,36254241,48350515
357f751b-9a10-45e2-9703-9816df10063e,4189,171,36317280,64,36313209,48429127
3d1ef989-5be8-42ea-a530-33b92902206b,4189,170,36268880,64,36264809,48364595
42b23571-355e-4712-8966-93ec8fea6746,4189,171,36259104,64,36255038,48351559
50e43438-c366-4566-85d3-e8040a70948e,4189,170,36226784,64,36222706,48308467
3df5b119-d27d-491c-8ef9-ad6159524284,4189,170,36275536,64,36271466,48373471
13e8a3f0-91f3-4b43-9efe-5558af4932da,4189,170,36279312,64,36275234,48378503
5f889280-f7dd-4d6c-b2cd-e2dcda7dd147,4189,170,36291040,64,36286975,48394143
1b003702-2f82-4d90-a124-59e388b78f26,4189,170,36268560,64,36264481,48364167
6bc2776f-044a-4422-96ba-2fca98a7aaf7,4189,170,36274752,64,36270685,48372423
5b195790-298f-430c-9c92-7ed13d944378,4189,170,36278768,64,36274696,48377779
1f9d1e3a-4eff-4a2e-86c0-a53c0b29ff30,4189,170,36283488,64,36279416,48384071
a69a32d8-89e3-418f-817f-9636548ab6f2,4189,170,36325760,64,36321686,48440435
ae8b064b-3c61-437e-9bd2-21de3c6a273e,4189,170,36248576,64,36244500,48337523
44ad41c2-b32b-45b7-8c9c-2c1d880c4174,4189,169,36292976,64,36288908,48396723
92f16aca-a3e4-49aa-8417-8d71f21eaf90,4189,171,36263488,64,36259408,48357406
b216cb08-516f-41dd-8833-604ed15c22f3,4189,170,36260112,64,36256037,48352903
06de674b-6527-4800-8652-0f00a889c228,4189,170,36283280,64,36279202,48383795
9569979d-5d35-4dc7-aef8-3a70aeb80f7b,4189,171,36240352,64,36236274,48326559
2d57686d-2ad4-4ee4-8338-1af762ad5837,4189,172,36307888,64,36303823,48416611
6a4eeebf-e9ff-412b-83f3-e271504af4d6,4189,170,36305888,64,36301814,48413939
88e3fc1a-63d2-42e2-be3d-285a73f9258f,4189,170,36291072,64,36286998,48394183
44193ab8-a326-406a-879f-71536e1475e1,4189,171,36300592,64,36296520,48406879
