index,private write key cipher size,public write key size,data cipher size,signature size,plaintext size,package size
bf2d6e6d-a84e-41f5-837b-5b9b4b2af52a,4189,170,41454,64,37388,61359
92ee24e8-4557-4e47-9333-12d384f037e0,4189,170,40734,64,36658,60398
f7933d1b-eb42-498a-8947-8a988fd6165e,4189,170,41086,64,37020,60871
edd954a4-f354-44b7-b544-3db9a03e6346,4189,170,39918,64,35853,59310
321bc1f9-872c-4c9f-bb0c-4c3214fb6bcd,4189,170,40622,64,36548,60250
34a72467-b5f6-48aa-bc3f-c1c0a4943154,4189,171,40590,64,36520,60207
910a7ace-3c6c-493b-b445-4b746964dfa8,4189,169,40750,64,36680,60422
77568cc1-e1d9-48bb-9542-d84e04719919,4189,170,41310,64,37247,61166
752345b7-5da5-4372-9129-5345f20f8f2b,4189,169,41566,64,37498,61511
5b0be2eb-7efe-476c-bdee-efcdc45c9cdd,4189,169,40894,64,36826,60615
8ac72987-209d-47ad-b510-2a2dc7d8bc81,4189,170,41934,64,37867,61999
478ac6f0-5906-4f8c-a80b-7d256367c89c,4189,170,40990,64,36920,60743
aae2a472-e7d0-42cc-b076-95bc7b4db089,4189,170,40766,64,36697,60443
cfc76434-c334-444a-a72c-b32cfc1d583d,4189,170,39390,64,35316,58607
9978701b-e96d-41c5-9299-37ec5a6d0fa9,4189,170,39934,64,35860,59335
9b9efd28-30fd-403e-9025-1f50c694fea8,4189,171,40014,64,35947,59439
343ae288-8fe4-4074-9c3e-6710a0e13d30,4189,171,40158,64,36086,59631
472fcf4c-a057-4f42-a6d1-424c780356d9,4189,170,41694,64,37617,61679
94a5feac-22a2-4dfe-9031-1462952b25dc,4189,169,39902,64,35836,59291
0849e5d3-02ef-4cfd-a073-9ad8a3c93f7a,4189,171,40718,64,36654,60378
c3cdc5d8-1d96-45f8-93cd-99b7cf023c00,4189,170,39294,64,35218,58479
54a0e651-c9f1-42d9-a20b-2d024d9102f5,4189,171,41470,64,37399,61383
90749b3a-0017-4c73-918b-c1b5bfeb51f0,4189,170,40526,64,36456,60123
27c7b63b-f160-4ea1-a384-0936dfb16d4b,4189,170,41390,63,37312,61271
395d08bd-ca8a-4c65-b8eb-9ab0c953e2d4,4189,170,39038,64,34968,58139
150d71e0-c74a-42c5-ab2a-8f88f225aa97,4189,169,40318,64,36241,59847
dc632a42-5a73-4281-8cde-9ba30b79d386,4189,171,41966,64,37898,62043
5f5ec952-70f6-4686-aaa4-81a0ed5b0a5c,4189,170,41102,64,37039,60891
d569e2e7-2f00-4ebd-993c-5d882c718b63,4189,168,39838,64,35761,59202
111eabea-cb2f-4f08-a765-0a253ef717e1,4189,170,40670,64,36598,60315
976770f4-9018-4dc6-8d12-c3f808ff0c6f,4189,170,40206,64,36136,59695
