index,private write key cipher size,public write key size,data cipher size,signature size,plaintext size,package size
31efa965-ab21-44ba-992e-c1ca4d83c7c8,4189,171,4526,64,461,12123
3dcc0610-7e99-4ad3-9551-ceb03631d2e6,4189,170,4462,64,392,12039
008a6582-99db-4108-b7ee-1799b3a53b89,4189,170,4446,64,372,12015
f59a1cd1-dbd7-4eec-8e32-63bf793350c5,4189,171,4446,64,370,12015
e1da7d50-a885-4194-b16e-87841adefd4a,4189,170,4398,63,333,11947
a59bc1c3-64dc-4de4-91f4-f701310345c0,4189,170,4494,64,431,12079
f676288c-aa6a-49a1-959f-130614dec561,4189,171,4430,64,364,11995
0beede85-ecf5-452a-b815-a1ba90fc81cb,4189,170,4462,64,390,12039
21dd792d-e459-4fdf-a09f-266e82845151,4189,171,4574,64,500,12187
f459d925-280d-4987-a02e-43aeffb82607,4189,169,4494,64,422,12079
5ea7da2c-d854-4753-b074-76388dd7bfab,4189,170,4558,64,492,12166
c1e7f398-6d81-494b-b301-1589b2ae6045,4189,171,4430,64,360,11995
a9e94220-7fe2-4cf1-a7f9-65ef5de70cca,4189,170,4398,64,330,11951
746dd7b6-8822-431c-856e-d51bdee5e2be,4189,171,4558,64,482,12166
a6df1037-917e-4aa6-a50d-fe6e7d018a29,4189,169,4446,64,372,12015
4ef8e87b-62f0-4d1d-b758-6fd3f596763e,4189,170,4462,64,384,12039
14da18f8-9ed0-4d36-ac11-954a8e63fa74,4189,169,4382,64,306,11931
7fdecc9d-4a80-4450-9df9-02fe7346518a,4189,170,4382,64,306,11931
80478aed-ea30-4986-b1eb-37775d78773f,4189,168,4478,64,400,12055
cdea92ce-54d8-40a9-92f4-10a723fbb45c,4189,171,4478,64,405,12059
680db2c1-07a7-4643-a6ba-c1b55c007a82,4189,170,4446,64,371,12015
1cd8e03e-80cb-4870-b8c8-8338e69534a6,4189,168,4382,64,319,11927
e651983f-ee58-4fc1-af82-400c22388b76,4189,170,4542,64,467,12143
3dc55ced-7566-4f26-9505-6fcdb34d9d14,4189,170,4526,64,460,12123
3b92ebe5-1cf3-4ec4-a5e5-b474eb0166c7,4189,170,4462,64,394,12039
ff40f7ad-2ad0-435d-b34f-6a24050dedf1,4189,171,4478,64,413,12059
fcc20d89-1230-4282-b65a-1f64df31c586,4189,171,4526,64,457,12123
a3322f25-3e7e-467e-9d66-339390bc803e,4189,170,4462,64,386,12039
80320f90-36ef-426b-861c-9186856ab1da,4189,170,4414,64,343,11975
1663a907-26fd-4066-9abd-b0a6b1880cf2,4189,170,4446,64,378,12015
a5833e20-2766-42da-85e8-e0fde0ddf017,4189,171,4398,64,328,11950
b9fb97d5-6189-4b21-bf72-3510beb925eb,4189,169,4558,64,482,12167
eda57b86-1405-49c8-aa95-5f1e87d59733,4189,171,4462,64,385,12039
91d70345-474e-432a-a918-209522d1645a,4189,170,4446,64,383,12015
94f94f71-e8c1-4678-b63b-7e6961399acd,4189,172,4414,64,349,11979
a1d5b6c5-6fd8-4541-94b0-765c7bea461d,4189,168,4398,64,329,11947
e1119836-9968-4985-a63b-0e3814a34110,4189,170,4558,64,485,12167
cd556a26-f6c6-4c51-81dc-3d03897f0dfe,4189,170,4526,64,462,12123
6821d0a4-177e-414e-ba79-5e90d7eeff06,4189,170,4526,64,450,12123
c60db7e3-456d-4c64-b732-5612c0d11daf,4189,171,4478,64,410,12059
12692759-1f7f-4791-a8b9-f3491901afc2,4189,170,4446,64,377,12014
668f0bb2-d4eb-4176-8db6-91e42add9ff5,4189,170,4462,64,389,12039
ff590749-01e5-4a2c-84b7-800f0b5d305e,4189,170,4446,64,369,12015
e375b614-9d1d-4dfc-8300-451aaa3c2520,4189,170,4494,64,421,12079
c83a8c95-d257-4617-ad1f-3d5558bd6db2,4189,170,4414,64,341,11975
aaa4c79e-126f-4403-a512-bb91e2eae91c,4189,171,4510,64,434,12103
7961f8df-5bf5-45a8-ad77-a10a453bec34,4189,170,4526,64,463,12123
d4c3c75f-29d5-49a2-8ca5-e7d6aec1d169,4189,170,4478,64,407,12059
4783df2b-68ef-4b3e-802e-2d5ceb5cb263,4189,170,4478,64,404,12059
3724af0b-1ecc-42a0-ae84-9bf03abc5a84,4189,170,4430,64,358,11995
5c3541f6-a79b-44e6-887c-c9fd95b25456,4189,171,4350,64,287,11887
31d7a7d3-681e-42a7-96c3-34ae6c22a084,4189,169,4494,64,424,12079
e1fb2844-ba48-46e3-8369-8265a2b134dc,4189,170,4350,64,284,11887
