index,private write key cipher size,public write key size,data cipher size,signature size,plaintext size,package size
0ccc2343-667d-4431-ab0c-bc9331fb8cb4,7486,178,55701757,64,41770809,74279506
ba2fde2a-061d-4f86-9afe-ba39a6d20252,7492,178,55681055,64,41755293,74251909
1dd062ce-1ed3-4994-8243-ed300d93223f,7498,178,55749019,64,41806262,74342539
fbf7601e-d586-4d83-865d-aae387d18adb,7493,177,55663757,64,41742320,74228843
8d686d41-f50c-4ab6-8673-55967dc9ea55,7496,178,55712461,64,41778835,74293791
d2ed8e94-f300-4f3a-9fe7-84c6cc387afa,7484,179,55695552,64,41766150,74271227
cd37f8fb-4bc1-4a39-80bf-9023680482e9,7482,178,55707511,64,41775127,74287170
a5c2036e-fc74-410c-b000-20233e985083,7502,178,55679310,64,41753969,74249594
255cce1e-5da7-4002-84cc-85047bf4ef88,7496,178,55718216,64,41783160,74301463
9870c674-0db2-4fa2-a53a-f3c57b653ef0,7508,177,55665725,64,41743781,74231487
9b52e218-ccc3-44ec-98ed-4f34eebed04e,7501,179,55664895,64,41743168,74230375
3f043ab5-d29d-4494-83a1-a58190714799,7489,180,55722358,64,41786261,74306979
47185a04-b806-4063-9e1d-0c53cf7dda28,7495,177,55711739,64,41778294,74292823
926b9ea8-8ac8-4a33-9585-190e0fa08ec6,7513,178,55664452,64,41742829,74229803
49121967-b8a1-44c4-b869-676448a8ad79,7498,179,55646624,64,41729463,74206011
fae83991-1b79-4be1-a18b-ab646e14c90d,7510,179,55653139,64,41734356,74214715
da88d4f5-5773-44fd-80a2-4d4e5a7c2587,7509,178,55693590,63,41764693,74268639
b2291fb6-cf6e-4f53-9e7d-4cf78e33dd54,7503,178,55718758,64,41783561,74302195
e6d3bf24-4358-4b9d-9110-1903d878b760,7494,177,55656724,64,41737052,74219467
9467b752-602c-40e2-a1b3-8bbc58e91bf6,7500,178,55693314,64,41764491,74268263
072837cf-ec7c-4a44-973c-bc19a27071ed,7500,178,55699027,64,41768768,74275883
ad3db59e-85e8-4e49-a76e-ec391d0ee342,7497,177,55718199,64,41783146,74301435
9d1e38bb-ab44-4437-b0ed-14fdff4343a3,7490,179,55670114,64,41747073,74237319
755df386-532a-49b2-aaaa-38131c03f3f0,7498,177,55744865,64,41803139,74336995
23742acf-00c9-4428-9c7f-f5e71c703db0,7499,178,55704351,64,41772752,74282978
4212abcf-84cd-439a-ad65-208880e96e5c,7504,178,55677327,64,41752492,74246955
2c6a7a52-5e45-46ce-b644-c44dc58e0a43,7483,178,55656503,64,41736867,74219162
3eb4da34-aafd-4f33-a4db-c56a5bb86830,7500,178,55685578,64,41758678,74257951
230ae027-3af1-4d31-beea-81b52f3e83dc,7497,178,55712566,64,41778920,74293931
53ac2385-0cbd-486c-a33e-65e43e44dca7,7500,178,55738506,64,41798375,74328519
1a680cbb-92f2-43c8-8e1d-9db7e0238f54,7498,178,55677765,64,41752806,74247531
a96c8fd6-d61b-4bdf-a5ce-a4373eab8363,7499,178,55722085,64,41786040,74306627
f44e4e99-030b-4888-8b92-214e4b2f7431,7487,179,55700323,64,41769731,74277595
528ca384-c96e-44d1-9ca2-0e8f78733665,7511,179,55707262,64,41774944,74286879
4c50e203-28f0-4ac5-8fde-0f2ae9c932a0,7517,178,55696253,64,41766686,74272207
1c94ca7b-248a-4847-a85b-2aca995d95c2,7504,179,55719018,64,41783775,74302542
e6da540e-6c09-4127-ac27-97baaa90efc7,7522,177,55747247,64,41804939,74340203
ed847929-48f8-42cd-ba71-6e91e6e89db1,7507,178,55690188,64,41762137,74264107
437210d3-e317-4960-8e64-50bdf5b020e0,7498,179,55691504,64,41763113,74265851
290fc676-6439-41a7-957d-896b53e10b37,7494,179,55672134,64,41748602,74240015
84652349-91be-45ee-8c99-3e8c777360ac,7505,178,55690734,64,41762553,74264831
4145a078-465b-4bec-ae63-2d4023101461,7494,178,55661184,64,41740371,74225415
6315c75f-4c81-41ef-9031-7ef8ab7eb465,7507,178,55674219,64,41750170,74242815
7c7e707e-385a-460a-af05-448cfbd49583,7493,177,55702214,64,41771167,74280118
ec2bfbcc-6bd1-4606-a767-67d4ebf33b9e,7508,178,55706444,64,41774323,74285783
61bc15aa-b84f-44fa-9e44-45d5ec965d96,7502,179,55714306,64,41780232,74296259
63ed6515-e771-4cb1-9f45-8166d514338b,7499,178,55679687,64,41754263,74250095
caa9dfdb-dce5-47b7-919e-50c48ef430f3,7512,178,55705819,64,41773857,74284954
197554c3-0b51-4acd-b5dc-1a503dba7c49,7487,179,55703980,64,41772469,74282471
9afc4be6-6b2a-4c9f-ba22-f02daab6c651,7495,177,55683864,64,41757398,74255654
f6041c1a-37d8-4488-9207-032650511171,7499,178,55718577,64,41783434,74301947
40f49e68-bc8d-4bc7-a521-77734d336da8,7524,178,55695007,64,41765744,74270555
d849e447-626c-4c0c-9d10-48697044729a,7501,179,55710844,64,41777624,74291642
b18b5015-6be8-4433-99df-9cdc0688d1fc,7483,178,55673981,64,41749972,74242467
5f33ada0-ccef-4661-8dc8-57f247b1553f,7491,178,55620969,64,41710223,74171791
ab8d9747-7538-4298-9ee9-2aa98f792262,7500,177,55666923,64,41744675,74233071
9cab56a5-305c-472a-bcf5-4f16b7c70f65,7516,178,55652876,64,41734145,74214371
089a20fe-29c4-48c2-8120-0262c5778fe0,7505,178,55672500,64,41748866,74240517
9bbbc48d-57b9-45ed-adb9-ce89dbc8e035,7494,178,55635559,64,41721159,74191251
7a5d7ce1-56a6-4dcc-9be7-fe7519d03428,7508,178,55645467,64,41728602,74204478
4010475c-8765-49a9-b4b0-7cc5f9f5f7f0,7499,179,55701902,64,41770926,74279715
873ece5b-114c-455a-acd7-ca3fcaee680c,7499,178,55657978,64,41737982,74221151
d7b478a7-c08d-4b1c-ba14-a9a844098057,7497,178,55698998,64,41768733,74275839
6887c69a-4cf1-4ef1-84d6-3de7f393e125,7493,179,55746516,64,41804368,74339191
956e2c78-6aa2-4bbe-b4c2-dae0677866ba,7489,178,55705150,64,41773354,74284035
e3cee84f-1700-4465-810c-e1665724f88c,7497,178,55639159,64,41723866,74196054
f9ce0a59-5dfa-42e9-9a09-68bb7af4465e,7511,178,55649147,64,41731361,74209391
f068a184-1426-4cb7-b65c-188236b5c04e,7507,178,55653509,64,41734618,74215203
6057b117-2622-49c6-9bd3-2ea0b3197627,7507,178,55675881,64,41751418,74245031
656f13dd-82a6-4690-b17c-7cb9d56b96cf,7492,179,55727076,64,41789797,74313271
a813e214-3438-44c1-8840-a6c3cee7a4a2,7489,179,55667805,64,41745339,74234238
a3c9eeb1-f78b-4b64-9e7b-ca0fa19498b6,7507,176,55690413,64,41762288,74264403
420aa4b1-6670-4933-a2be-774c1b090c81,7502,178,55639712,64,41724286,74196799
a725a2ad-7e0f-46fb-a34a-d4c59a3d8fba,7500,178,55642519,64,41726383,74200539
6b18c442-b5dc-4291-87fd-f18c1a7f48f6,7494,178,55635326,64,41720991,74190939
d35f5191-26fb-409f-a7d8-1fbc8180ece7,7507,179,55672423,64,41748804,74240423
ac671272-a1d5-4f8d-a8bd-ac77603eded6,7483,178,55718071,64,41783051,74301255
cf6c44d9-21b0-486d-9ac1-ee226fc469e7,7497,178,55711027,64,41777774,74291879
411005df-61d1-4598-9d1a-aee29f919e6d,7510,178,55699421,64,41769059,74276423
bab5ec1d-3131-43c9-bead-ac2d18a416c0,7501,179,55687861,64,41760391,74260999
89b812b6-c8ef-4c7a-a08b-f2d78fdf7cd4,7499,178,55681549,64,41755656,74252578
bd7152c3-9b6f-4041-b265-c329455c1ea0,7501,178,55673443,64,41749581,74241775
52165ce5-dbff-47be-8fe3-b92cb5c91a5b,7496,179,55652037,64,41733504,74213223
5c36ce40-87cd-43fb-83b3-d0b7125bcfaa,7485,179,55711068,64,41777797,74291915
7e7f93bb-b104-4b63-aec3-3fb9cc8f888a,7506,175,55661837,64,41740877,74226298
54d2ae49-91ac-42d5-b38a-c7397a168fb5,7495,179,55735722,64,41796295,74324803
1dc54eaa-4a80-4ad0-a695-4e90a71d7431,7513,179,55678809,64,41753599,74248943
06aa1c0f-bb77-4ac9-a97c-9064be7d7064,7497,178,55734058,64,41795026,74322587
ae35fa18-7d9a-4840-83f4-b49eaf785c84,7497,178,55680089,64,41754574,74250627
6093d62f-f3d2-4dbd-91e4-cf550facac42,7495,178,55699654,64,41769222,74276715
10d2d22b-1b4d-40ff-8863-69e2ce264c5b,7485,178,55686435,64,41759313,74259071
359c36c9-0bf3-4bfa-b040-5158c8c3e33e,7496,179,55673605,64,41749698,74241983
5d135d0c-269b-44fd-8ed4-a10c54ca43b8,7501,179,55735380,64,41796035,74324355
ca95762d-c729-4d4c-afd7-2e7b367a4264,7499,178,55724336,64,41787750,74309627
53c0887d-89b3-4425-b159-51f149fe2c2b,7507,178,55726514,64,41789380,74312543
21cde7ad-202a-48f0-91ad-b9db8060a1d6,7481,179,55701643,64,41770726,74279347
41bb8efb-27c5-4b4f-8321-ecec8f266410,7490,178,55720906,64,41785152,74305043
5d94e101-cc24-479b-863e-3cd4bd4a8f4e,7494,178,55698764,64,41768563,74275523
51dee3be-60ce-4285-8eec-da57edcb2dc9,7499,179,55705921,64,41773923,74285075
bb3ce296-4234-44b5-aa2e-314fcef88116,7500,178,55736990,64,41797236,74326499
4e46a741-5087-49d6-94f1-57a312cdf4c7,7504,178,55711483,64,41778100,74292499
23f61afc-126a-4e1d-bda0-771083668228,7482,177,55718545,64,41783417,74301879
abd8d281-bb22-4ce4-a74e-c4716654e7ee,7496,178,55674415,64,41750290,74243063
e1f1864c-87e9-4e7e-8db5-a2c6de42eb80,7497,179,55665750,64,41743810,74231506
7b3e4af0-9eca-4e98-a807-c040cbfda4fb,7520,177,55695222,64,41765910,74270831
fe6ca997-3f23-4527-bca1-a837c7362c54,7494,178,55699604,64,41769200,74276643
db630c13-d4d5-487d-8be8-315d19fc92ae,7494,179,55679350,64,41754008,74249639
3f2fde9b-7192-4eda-b98f-2304654d0654,7497,177,55692035,64,41763535,74266551
6134ec2e-3369-4d07-8d16-275bb74859cf,7513,178,55684190,64,41757644,74256119
cdbfa76d-8762-4ad4-99c1-83080028326d,7496,179,55696179,64,41766635,74272079
2629240a-919a-4195-a1f7-c81a8259196f,7500,179,55714748,64,41780564,74296843
5172dbac-ef2b-4807-829e-40646cc02231,7496,178,55730502,64,41792354,74317843
9f63cb2d-8830-4429-9e74-4af1a682ea73,7500,178,55665778,64,41743816,74231551
e1b1d790-bd05-4bf7-96b0-b6183f400280,7506,177,55720933,64,41785186,74305095
1c2fbc45-6d10-44cc-92cc-adc838b3b265,7490,178,55636586,64,41721936,74192615
2c588e31-510c-433a-b72e-a050a8509c1d,7494,178,55718408,64,41783299,74301715
3fdbbafe-071b-46ed-8018-b0dd13555cda,7492,179,55711182,64,41777878,74292079
d905f873-1d6d-4550-8299-0fd2d6d0a211,7505,179,55684083,63,41757561,74255958
21544bd5-2326-449b-b226-552abb0413b3,7503,178,55682126,64,41756092,74253351
4ef129a0-b809-4682-a382-ed628bf985b9,7498,178,55704386,64,41772791,74283027
902a2faa-b370-49b5-a039-bbde61bcd0cb,7490,177,55746063,64,41804031,74338579
295ee088-d189-4a12-8109-77fa4552d081,7518,178,55669292,64,41746478,74236259
b476d386-0c38-4b04-9681-21101d2593c0,7492,179,55699595,64,41769214,74276631
39794681-9578-4916-8996-7358a4fc11c7,7494,179,55714818,64,41780609,74296927
5afaa7b8-3cfa-4abf-baf5-ce9ab2adb7e9,7496,179,55701955,64,41770970,74279783
793cdc50-87e8-481f-aadb-5020e08b6182,7490,179,55699788,64,41769343,74276883
28acfcc5-8dfb-4120-9728-00de2603398f,7501,178,55705899,64,41773926,74285047
5d76e0b3-29a1-4312-8e12-c0bdbf2671d8,7512,178,55651790,64,41733350,74212915
d060165a-989a-4f26-8c29-dd2e4f218e65,7510,178,55696653,64,41766982,74272731
7dd6791c-7742-4e31-8859-c80e87c0e13b,7509,177,55670245,64,41747179,74237514
f80e4491-57d8-4ddd-aebb-2f58dc60a499,7486,178,55680384,64,41754792,74251007
d1b371c8-578d-45f7-aaa0-0889d0d524f3,7502,178,55682271,64,41756193,74253543
22edae38-ab37-4614-bf37-a6d6e22ed737,7486,178,55690058,64,41762023,74263907
83637cd5-39ca-491e-87bc-e52826fc2b45,7516,178,55668091,64,41745580,74234659
879a113d-ea22-4fc1-be45-6003eaa7dcdb,7493,178,55718779,64,41783574,74302211
05c7aa7c-fd72-498e-9838-3e9fdb07172f,7502,178,55689294,64,41761459,74262907
849a3853-59f6-4acf-8a23-b5a6c8a0fdd0,7480,179,55739261,64,41798940,74329503
26c8a3d4-2773-4326-825c-a1699ac41250,7501,179,55716105,64,41781569,74298655
3f5b3eab-e829-4690-8bdf-ff21978e753d,7511,179,55657776,64,41737837,74220895
f7b8d5fc-ccfd-4fcf-a71e-912a992f2f6c,7509,179,55730314,64,41792235,74317611
ad6e117a-b2e8-4dd9-b293-199dd108c61a,7506,177,55670704,64,41747529,74238123
b6eb6a25-cd35-42a3-a9ad-24c3eb2feda6,7502,178,55672032,64,41748520,74239891
ce5181fa-8ea9-415a-af9d-4fe68017139f,7502,177,55738435,64,41798330,74328427
a3fa14cd-c23f-415f-817a-baebf2b309dc,7501,178,55669165,64,41746353,74236071
bca0af17-0f5e-4aec-be63-83cd7205995c,7486,178,55679833,64,41754359,74250275
19512aa6-30f9-4365-a799-953d296f4587,7514,179,55690557,63,41762408,74264603
a01a9695-f66a-4408-8992-18e2a1b63288,7499,178,55704515,64,41772892,74283199
6038f317-2ff4-4524-ad77-da686e896649,7509,177,55741547,64,41800669,74332583
cfd33ad3-bde5-4d35-8f79-1b8ae6e9a3c8,7497,178,55632558,64,41718912,74187251
1de5d2ac-76d4-445e-b01c-6f6089c75f39,7496,177,55686924,64,41759665,74259735
2394b7d3-5d0e-4488-8ec7-9842caa85a3b,7512,178,55658207,64,41738152,74221471
be7d6908-a9be-4ce5-a6aa-ad8f9515a918,7514,179,55648041,64,41730529,74207919
e1b5e882-e762-46f2-b875-87757e424e7b,7519,178,55694304,64,41765223,74269611
2734f4c3-25d3-46b0-b924-7295d531e4dd,7485,178,55673723,64,41749781,74242123
833c1941-1439-4f13-bcdb-5fb3bd0e272f,7502,178,55739187,64,41798892,74329431
d78a95e3-ff59-4ead-80c0-8eddf2adad14,7493,178,55668688,64,41746007,74235423
cd6c1233-1649-412a-aab3-3d9475189522,7496,178,55661875,64,41740911,74226343
3e08099f-ad47-4bf5-92d5-b38e568b81f5,7504,179,55687049,64,41759799,74259919
b1795c86-ae30-4e64-918e-a2078ced7879,7509,178,55684957,64,41758219,74257135
22f2ae81-cf9a-4e73-8c96-5de1d0548c74,7495,178,55691137,64,41762843,74265359
e3ed4ee6-e207-4a43-8907-dc1518c0221e,7492,180,55712720,64,41779022,74294131
4028b40f-c984-4036-b878-6f685a2e367e,7494,178,55734050,64,41795025,74322571
911fc1c9-513f-42da-870e-edb186b2e69d,7498,179,55688834,64,41761108,74262290
81b8b71f-c384-47bf-88aa-82131b757a0d,7503,179,55677954,64,41752956,74247787
0580496f-ff38-453e-8cb5-fb61d50c8548,7520,178,55679001,64,41753756,74249207
88b5c90a-27cb-4c81-94d8-6384387ef6aa,7497,178,55670606,64,41747446,74237983
ed93f7d0-39f4-4044-a06c-73f3c5e9754e,7500,178,55692633,64,41763957,74267355
b00b0085-2e68-4763-835e-b4edc3770f73,7491,178,55680351,64,41754767,74250967
a9eeb97d-d99d-4e9e-89ab-911fae60150f,7498,177,55743902,64,41802427,74335711
89acfdb7-1bcc-495c-be24-5fdcdc2f8909,7497,178,55715522,64,41781135,74297871
9d4bd44b-d24e-4281-9836-063b14d9855a,7505,178,55690164,64,41762117,74264071
bb674973-c88c-4e49-9b0e-39fd666fef03,7489,179,55700580,64,41769920,74277939
3326e1ed-86a8-4800-8c2f-75b949539f8c,7488,178,55700807,64,41770102,74278238
57e88d32-ddf7-4277-bb41-16d6ecfa764a,7496,179,55699590,64,41769168,74276627
a7d7c71b-e5a1-4e5b-bce5-ecc1d9559bb4,7488,178,55696567,64,41766924,74272587
182efc00-8fcd-46ec-bc07-78f21cbedf66,7503,178,55670656,64,41747476,74238059
e19e2a2c-8030-4491-b3b5-c21d05db2f44,7506,177,55672768,64,41749075,74240875
11ef44bb-3000-46d8-9bec-24a6315af2c6,7491,178,55656391,64,41736793,74219023
b3b0b748-6421-4366-ae40-b9a42095e028,7494,178,55640532,64,41724893,74197878
aaf56321-2b89-4080-a026-e4e16eb7b214,7496,179,55731276,64,41792944,74318875
61f41bc0-0edb-43df-9b6e-c53667f30660,7510,178,55695114,64,41765830,74270679
78e09cc6-9214-48fd-805b-73a200821fdf,7505,179,55718681,64,41783512,74302095
878299fa-6e35-43ee-b064-2e0f53bfd5d5,7517,177,55669529,64,41746649,74236570
3db7ba07-bdb1-40c9-9a9c-9ba264a661b3,7525,178,55663210,64,41741891,74228163
7c72aa9d-e093-4712-946e-5ad472ca4cdc,7504,178,55677592,64,41752700,74247311
ca3e987a-3a10-4c0a-9b75-b45106619939,7514,178,55690034,64,41762023,74263911
db330ea7-b278-4a8c-9765-e03612294a2c,7497,178,55686900,64,41759658,74259707
cf95ce55-9a72-412f-ae56-31b9a4fa3680,7494,178,55706574,64,41774431,74285935
7b5dedd6-c1f8-42d7-aa1b-5e9516412701,7505,178,55623007,64,41711730,74174531
0b98bcdb-b561-4abe-8c83-af698c5864ee,7497,178,55687178,64,41759878,74260079
1d4d5e48-88be-4619-ab15-e7f2916cde99,7492,178,55713103,64,41779315,74294643
2dead30d-120c-4851-b3c1-d8cd7121276b,7488,179,55719744,64,41784296,74303487
102cc433-6c7c-4798-892e-08b852e0c73e,7505,178,55725996,64,41788999,74311847
4b664723-8c42-4868-8703-059dafd8046a,7501,178,55705548,64,41773662,74284579
d6d29eb3-a442-47d7-841c-33116fa8b1c5,7515,179,55659287,64,41738945,74222915
02fbe45b-b8b3-4bd1-8fa9-b608623d27d0,7512,178,55701552,64,41770649,74279263
8bf30050-e5ba-49c3-a335-4599117fe5b3,7506,178,55685311,64,41758471,74257603
d3adc5a7-76b8-434e-8e87-88158347b901,7480,178,55660698,64,41740028,74224751
20774c0e-511b-4c82-bd9e-646f4652128c,7501,178,55663434,64,41742075,74228427
514d29fd-29dc-4734-b002-24d8c3e777d8,7503,178,55712889,64,41779183,74294367
1576d95d-8983-4e4a-afa3-688e09246bd5,7500,178,55724612,64,41787945,74309995
98e85bd1-3745-4159-a868-83f811ed007e,7505,178,55646750,64,41729558,74206187
30c1203c-baaa-4ab0-ad18-d5a6a7b98cc9,7494,178,55731695,64,41793275,74319431
54c497f9-b2bd-4116-b6cc-a7ba2f0b0833,7506,178,55704053,64,41772528,74282591
