index,private write key cipher size,public write key size,data cipher size,signature size,plaintext size,package size
2151e4ff-f07e-40b4-b0b5-71faf01b77e6,7497,178,64147,64,42595,96039
628f0049-f6e1-4edb-8d6e-28551a428d76,7504,178,63279,64,41962,94891
1295ac69-13e3-4f1e-a918-1f89e73dac8d,7523,178,63936,64,42435,95791
5dafd480-47c7-4022-b1fc-810b8d8c2753,7507,178,65062,64,43295,97275
796488d4-8873-4850-b00c-ce2401c6f148,7500,178,62988,64,41735,94494
6cca4179-7927-432c-acd7-6e2d318a3044,7492,178,64604,64,42947,96643
51eca06f-56f3-4064-9810-3c779b714d8c,7495,178,63456,64,42081,95115
1a0067fb-e157-4296-9741-4eaf7ac53c3e,7519,178,62766,64,41583,94227
75198d5c-4459-40e6-9e23-ff0926d4946e,7480,179,63348,64,42013,94950
569f164a-b12e-43f8-849c-6ee405194f93,7492,178,65374,64,43549,97671
94d79f24-15f9-4310-9838-7957c047366a,7514,178,65208,64,43401,97475
0d21b993-03de-4c60-93de-44bf10340854,7515,178,63945,64,42463,95791
8efd4432-82ef-4818-be2c-8c654b9dd33d,7512,178,64652,64,42991,96731
07757c13-aab4-4807-82a8-9fded8e34d0d,7486,178,63965,64,42450,95783
9ec782bd-6edd-4c66-ade0-eba693b77366,7506,177,63973,64,42465,95815
a497fe93-73c8-49ab-9bd2-6d95e8875aea,7518,179,66683,63,44504,99443
7d1db34a-35d3-46b7-995a-bb7b90b4fcdb,7509,178,63338,64,41990,94975
6dd78573-8664-4640-8f0a-edf9604bcb67,7481,179,63038,64,41783,94539
e8580bb6-d7b6-4c8a-8f35-4c7b33154f20,7517,179,64923,64,43186,97099
e59518ea-b52f-4a38-9a72-b0161087733b,7508,178,61775,64,40829,92891
80ecd6c1-af86-4c64-bcb6-275a3da95028,7514,176,64009,64,42504,95875
a1b00cda-ecf0-4463-b9e4-679ba7489c83,7513,179,64028,64,42519,95903
8b0531af-6cce-4fe2-9f2c-74ccb33e9e57,7499,178,63139,64,41842,94699
a0ec876c-f9de-45a0-afac-7a0ecc333d52,7501,178,63612,64,42203,95330
f9ef1d62-a871-404b-9b7a-94cb56cf3d86,7500,177,64632,64,42972,96683
8d027592-283a-48f3-bf5c-f240d4564815,7497,178,64378,64,42772,96347
33353004-fe80-43e4-8f85-18a091ff0bfe,7507,178,63488,64,42111,95175
5ecaab01-b04a-420d-9c62-48fc4647977a,7501,178,65538,64,43650,97899
0178266d-3936-473b-995d-765198c91d13,7497,177,63076,64,41803,94607
606336d7-1974-4028-8ea9-9c5f1cf3054a,7486,179,63293,64,41972,94886
b0dfaa92-772a-4bda-ade8-969dcbd5f381,7502,179,65582,64,43688,97959
d2b7c896-be6a-4f8e-b319-dcb219272ac2,7520,178,63234,64,41909,94851
7cd07147-e490-427a-a819-552d49bdfcf2,7506,176,63128,64,41854,94687
997bc045-820e-4698-a83d-a7ea0f86f7b3,7483,178,62560,64,41412,93907
f3e5aa63-c492-4649-9463-d888c669c720,7490,178,64055,64,42534,95907
86317f5e-fee5-41ef-82d5-3a0137cb7f84,7509,177,61405,64,40555,92395
8ff077b3-ef38-4d9b-a5ae-ce22ffe670bc,7497,177,64874,64,43149,97002
05e7e548-397a-48ea-adc2-526e2b58cab4,7488,179,63526,64,42141,95199
42a98e5c-782f-4f5e-9fa2-ddb2a65ed3fd,7504,179,63553,64,42157,95258
d119a4d2-bcd2-4e76-b3e0-a5df66d8d341,7502,178,64393,64,42792,96375
877396b4-76bd-4e2f-ac94-887e5c63fd71,7492,177,63793,64,42343,95559
f5111187-d207-4cca-b45e-46c5bfadc7ea,7496,177,65422,64,43560,97734
3d9773fc-5324-4bc4-8b67-b3833bdd28b3,7501,179,63615,64,42212,95335
25b1947a-9819-416f-a31c-8e19a0d1b797,7502,178,62761,64,41553,94199
edd7e48b-5a16-4d9d-a760-840fe64d885f,7483,178,63010,64,41757,94507
95bdafa3-23c9-40dd-b593-837ba5c34bb3,7510,177,63697,64,42266,95455
46f566b8-c428-4032-bdce-d7be37ca952c,7505,178,63506,64,42126,95195
119cf2c2-e4e7-4265-b39c-c525a7b90e3a,7497,178,64545,64,42897,96567
2976883b-e93f-4c63-9187-f2d854eb65c9,7510,179,65302,64,43487,97599
3f21224a-cf67-4be4-8b75-c4abe8941f5a,7496,177,63440,64,42068,95091
9d9ca72e-2512-4383-adae-8c029ffdda38,7503,179,64321,64,42726,96279
9cae68ac-6925-4851-b567-e9beca077ddb,7516,178,65018,64,43249,97226
42afc214-1726-45bd-92fb-fdf431c35473,7492,179,64429,64,42822,96411
985ed467-bfb1-40dc-9576-2fba8f682379,7498,177,63432,64,42073,95083
5e697cf9-b65e-4c95-a8b2-5ac6b1f1bb6a,7508,178,64726,64,43031,96827
504b6114-8d72-4d10-aeac-0e15a7a9d02f,7492,179,65781,64,43837,98211
9605b565-33bf-4434-af79-2b26fc3182ee,7490,177,65133,64,43344,97339
33c1d7d8-b6e7-4c3c-af8c-b1f6a6227932,7500,179,63864,64,42398,95663
5423249b-fafa-4a54-971f-d42244389707,7512,178,63457,64,42080,95139
54df298d-80e2-48e9-b344-3ff679a1a797,7501,178,64991,64,43224,97171
266bf1b5-e3ea-443c-8a04-d759af7df2e6,7496,177,64386,64,42773,96351
97283b92-287f-469c-898f-8389cfa3141a,7491,178,63846,64,42368,95627
2a043767-46c7-4a7f-8d93-9dff42e9845f,7500,177,64027,64,42521,95879
8ca0f747-5e91-4acb-a100-0482a4ec5b09,7514,178,64056,64,42536,95939
62a9ff32-2d57-4d53-8dff-40d1e364ecfa,7503,178,64616,64,42954,96670
52a5afb1-4535-4ab8-b6d2-894c981365d3,7501,178,63655,64,42248,95391
159ec90f-c946-4f30-9591-9bb02f5f529d,7477,178,64215,64,42669,96103
4d3948a1-5f40-47dd-aa97-b7aa33697451,7502,178,63476,64,42105,95151
5c54ebc1-1dcb-4314-9bc4-3e12360755cd,7510,179,63839,64,42369,95646
e906a26e-e539-45c6-9606-e605c012aa18,7496,177,63378,64,42028,95007
3ecc06ca-a874-4e2a-aa9c-8f80e4d0e2d4,7487,178,64593,64,42929,96619
74bcd7fb-8bf4-42e5-9e6f-d51d929ea228,7492,178,64437,64,42829,96419
afce2ce5-46d2-48e2-90f3-7342c0aff42b,7515,178,63199,64,41902,94799
4ccbfd5b-6f66-4fcd-bad2-8ed504a318aa,7477,178,62318,64,41224,93575
d00c72c3-db31-409b-a994-c7b08fa7e21f,7508,178,63138,64,41841,94707
491ab7e6-a387-4fb4-b28d-e7da386e31e6,7492,178,64582,64,42930,96615
5efcf773-ca72-47d7-8463-8c6cd5e3aff5,7502,178,60904,64,40162,91723
96a3f4db-95fa-4096-b5c7-265cf0bf3f6e,7508,178,63387,64,42016,95039
