index,private write key cipher size,public write key size,data cipher size,signature size,plaintext size,package size
1b9ce932-d407-4379-af79-a7bb8b8efd04,7488,178,8134,64,606,21343
4bb62354-343a-43a1-83d6-2a6be465d9fa,7495,178,8032,64,518,21219
35145bcf-d966-4417-a109-1628346cbbbb,7507,178,7762,64,317,20875
be66ea77-4c9e-49ff-9cb9-b14cdbe628f6,7492,179,7880,64,404,21010
bea1ae3f-ae73-4a64-8353-25aee8ef36d7,7496,178,7870,64,393,21003
986eca6a-bcda-4d2f-a11c-f4b624ac3250,7515,177,7839,64,360,20979
a4dee716-45f9-4883-b0dc-afee2b2e9669,7492,178,7904,64,416,21043
07e6fd29-61e5-46a6-81bc-cd3eec7caa1d,7498,178,7964,64,492,21131
066d12af-8d50-48b2-a652-b2594d1fc920,7497,178,7970,64,477,21135
e6846135-d8ae-4d82-99ed-89cca39e428a,7493,177,8004,64,500,21171
1ad3151c-162e-4451-80ed-7c95e3521945,7518,177,7960,64,478,21147
90040bfd-cd70-4a94-8012-5bf33c3b2041,7505,178,8046,64,515,21247
18a52564-a236-45f4-ab50-0fe42f0ceaf9,7499,178,8008,64,486,21191
05644078-ae73-4bf5-9a71-f35a455aee6f,7512,177,8015,64,510,21211
24579db2-e0e8-41bb-8cf2-48010767e620,7496,178,7861,64,393,20991
054477d6-4a31-4c78-a988-ea790b5d2775,7492,178,8036,64,523,21219
07076b5e-b435-4c66-8b4f-59a39e215fa4,7524,179,7892,64,405,21067
407e7441-ab03-4368-8e80-c7a2c933af0b,7487,177,8014,64,504,21179
e4e10c3c-cac8-4f7a-8d61-e7ac22cd19e8,7500,179,7986,64,495,21159
c3e5b274-91f6-494d-a0d1-2a9de8501bb2,7490,179,7917,64,437,21055
52827af1-5b42-432b-b69b-32761fa31d8e,7512,178,7862,64,407,21010
59f11e97-e41a-4bc9-b62a-7b122afba48d,7522,178,7998,64,499,21207
79c6294b-ceae-4971-b8cb-33af4dc07e55,7502,178,7785,64,339,20895
54a9bc36-d7e3-4a2b-8b20-99833e3fa390,7501,178,8050,64,536,21251
f85152fe-027b-48d9-b1fc-6735ddc14e22,7485,178,7862,64,390,20975
676529da-1bc4-4041-a4f7-e9bfb5bdcdd2,7510,179,7915,64,431,21083
ed39cd12-5974-4a16-8698-236c3f47603b,7506,177,7858,64,398,20995
4febc3f5-591d-4393-a7c8-9fc4e60dd5cf,7509,178,7905,64,419,21063
da764c64-65f8-4bf1-ae29-d1e3eadeed26,7490,178,7899,64,427,21031
cc43d0f9-2a70-42ef-a45d-dc0276084d2f,7480,178,7954,64,450,21095
aa43e288-0704-4261-8ae4-127f412df72b,7498,178,7820,64,345,20939
8de5d111-9efd-4a09-bc47-4c8409961261,7496,178,7892,64,405,21031
49572e3c-1295-474a-9945-b17bcf2df02f,7505,178,7917,64,447,21075
1e9d6e68-ca40-4834-a31b-0ad4357cc5ab,7495,177,7746,64,303,20831
4bce08e3-2a27-4976-93f1-d92281f92f84,7481,178,7780,64,333,20863
7bb98c43-7764-4238-8129-a85e04a98e67,7493,178,7889,64,405,21023
05120395-f121-460d-98aa-cf42ca7fb615,7501,179,7847,64,375,20979
ccddb213-4d87-405c-b68d-4a0e7e71b969,7493,179,8022,64,521,21199
e5a6576a-d76f-4b3c-9282-494650ad9384,7497,178,7834,64,368,20953
