attributes,setup,auth setup,keygen,and_encrypt,or_encrypt,and_decrypt,or_decrypt,key_merging,complex_and_encrypt,complex_or_encrypt,complex_and_decrypt,complex_or_decrypt
1,0.004100368600120419,0.001005251800233964,0.007229210999867064,0.005692997699952684,0.005315500000142493,0.006237370400049258,0.005728302900024573,1.3826000213157386e-06,0.006063995400108979,0.005902344299829565,0.005552005400022608,0.005490217500118888
5,0.004100368600120419,0.001005251800233964,0.0298554740002146,0.024547220499880496,0.02384485250004218,0.01661849890006124,0.006126554600268719,1.5770001482451335e-06,0.025387490700086345,0.021166986699972766,0.01560917340029846,0.005625227700147661
10,0.004100368600120419,0.001005251800233964,0.056429469300201165,0.04591674100011005,0.05037527640015469,0.034349431399823514,0.006045977499888977,1.5589997929055243e-06,0.045663312599936036,0.03922723360010423,0.030130679500143743,0.004853628999990178
15,0.004100368600120419,0.001005251800233964,0.08407535270016524,0.06737937119978596,0.06416977739972936,0.04614514509994479,0.005653233199700481,1.5659999917261302e-06,0.07043211649979639,0.05767401630000677,0.04495110620009655,0.005413231200145674
20,0.004100368600120419,0.001005251800233964,0.11271173280001676,0.08896541489993978,0.08243882389979262,0.06530088319996138,0.006184643499727827,1.777400029823184e-06,0.09543802570005937,0.07961344530012866,0.059611182200023906,0.005624865999925533
25,0.004100368600120419,0.001005251800233964,0.14532308089983417,0.11130123099974298,0.09793570889996772,0.07728296919995045,0.006534721799835097,2.085999949485995e-06,0.11307188020000467,0.10379677719975007,0.07275969219990656,0.006288244700044743
30,0.004100368600120419,0.001005251800233964,0.17290554879982664,0.13806374779996985,0.12333263450018421,0.09121699290008109,0.007172788100069738,2.322400177945383e-06,0.13809159440024815,0.11543044309983089,0.0876377788001264,0.0064427282999531595
35,0.004100368600120419,0.001005251800233964,0.19713482420011133,0.1619566354998824,0.13390434909997567,0.10427920010006346,0.0076122059999761404,2.2402000467991456e-06,0.15964546849972977,0.13181424070025968,0.10316224939997483,0.006883458599986625
40,0.004100368600120419,0.001005251800233964,0.22414551750007378,0.18022903429991857,0.15581998679990647,0.11837454830019851,0.007859021900003427,2.6088997401529924e-06,0.17814371640015453,0.15097057269995276,0.11651279599973349,0.007390491299884161
45,0.004100368600120419,0.001005251800233964,0.26161939189987604,0.20247056070002145,0.1750329487000272,0.13685411849983212,0.008474179999757326,2.7602000045590103e-06,0.19982601039992004,0.16839808519980579,0.13172187520031003,0.007848940899930313
50,0.004100368600120419,0.001005251800233964,0.28587846609989354,0.2244235762998869,0.19302229789973352,0.15553639869976904,0.009062783799890894,3.2091000321088357e-06,0.22115217950013175,0.18690447959997983,0.1455185595998046,0.008242620900273324
