attributes,setup,keygen,and encrypt,or encrypt,and decrypt,or decrypt
1,0.007718857400323032,0.004459316599968588,0.006270704499911517,0.006282728999940446,0.0030934929000068223,0.0029699241000344045
5,0.007718857400323032,0.014726884199990308,0.02094852499976696,0.02070056209995528,0.01333139009984734,0.004524691999904462
10,0.007718857400323032,0.02475023240003793,0.0387065162001818,0.03853438539990748,0.024399821499901008,0.005080634299883968
15,0.007718857400323032,0.034486154800106306,0.05590169319984852,0.05608524929994019,0.03395742829998198,0.004296680499828653
20,0.007718857400323032,0.044875250500263066,0.07412950819998514,0.07533685889975458,0.04733467750011187,0.004256352900119964
25,0.007718857400323032,0.055462961599914706,0.0916462010001851,0.09510584510026092,0.056407386300270444,0.004818053000053624
30,0.007718857400323032,0.06679692689976946,0.10989099100006569,0.1107615311997506,0.06851759390010556,0.0060073617998568805
35,0.007718857400323032,0.07676042480015895,0.12742273190015113,0.12994667590028258,0.07850956809998025,0.0058302417000959394
40,0.007718857400323032,0.08708945090002089,0.14519991020024464,0.1491058350999083,0.09233233039994956,0.006556127599833417
45,0.007718857400323032,0.09819490280024183,0.16286676550007542,0.17240665319986875,0.10461579879993224,0.007207700000071782
50,0.007718857400323032,0.10853679709980497,0.18231927449996874,0.182414675399923,0.11298135180004465,0.006636796800012235
