attributes,setup,keygen,and_encrypt,or_encrypt,and_decrypt,or_decrypt
1,0.01021118,0.02920903,0.023489682,0.024758848,0.008606869,0.008708170
5,0.01021118,0.067270630,0.042384256,0.046696520,0.009633462,0.010049209
10,0.01021118,0.125370787,0.067856320,0.069902443,0.011073738,0.011175807
15,0.01021118,0.169951652,0.092999439,0.097712309,0.012908575,0.012528601
20,0.01021118,0.216746116,0.122851774,0.124622482,0.013921624,0.014056917
25,0.01021118,0.267627911,0.148281306,0.147622128,0.015309302,0.015245718
30,0.01021118,0.328425261,0.174856841,0.171706098,0.016722841,0.016582009
35,0.01021118,0.377237937,0.195910543,0.205828263,0.018318560,0.018178262
40,0.01021118,0.432582793,0.229852057,0.225595664,0.023128831,0.019680571
45,0.01021118,0.469312336,0.252991858,0.245520527,0.021527056,0.020809168
50,0.01021118,0.529196301,0.280952669,0.268728795,0.022206679,0.022673380
