attributes,setup,keygen,and encrypt,or encrypt,and decrypt,or decrypt
1,0.000840693,0.000370312,0.000514638,0.000535553,0.001368468,0.001356006
5,0.000840693,0.000723709,0.00157805,0.00152361,0.002921462,0.002454939
10,0.000840693,0.001151851,0.002852844,0.002717956,0.005011253,0.003831747
15,0.000840693,0.001551216,0.004090939,0.003977144,0.006994287,0.00533267
20,0.000840693,0.001941148,0.005394787,0.005044545,0.009073755,0.006506937
25,0.000840693,0.002456881,0.007025935,0.006349228,0.01117741,0.00814629
30,0.000840693,0.002726214,0.008200538,0.00762449,0.01305019,0.009522187
35,0.000840693,0.003262051,0.009212654,0.008757703,0.0150577,0.01081872
40,0.000840693,0.00378434,0.01041457,0.01004882,0.01687643,0.01203564
45,0.000840693,0.00420698,0.01194365,0.01134492,0.01892791,0.01356694
50,0.000840693,0.004474085,0.01278471,0.01235677,0.02097985,0.01556661
