attributes,setup,keygen,and encrypt,or encrypt,and decrypt,or decrypt
1,0.011646502100120415,0.0037949896999634803,0.004866143599792849,0.0044678730999294205,0.0034359864999714772,0.0029653380999661747
5,0.011646502100120415,0.013828025700058788,0.015209531700020307,0.01546705729997484,0.00850744420022238,0.003983373699884396
10,0.011646502100120415,0.02490509929994005,0.02704009480003151,0.02636885039974004,0.01240488080002251,0.003592009999920265
15,0.011646502100120415,0.035668390399951025,0.039274180299980796,0.037847682999927204,0.016602856800091104,0.004401194100137218
20,0.011646502100120415,0.04663778499998443,0.04930937850003829,0.049512048500037056,0.021971631799897296,0.004324733699831995
25,0.011646502100120415,0.05796577490000345,0.06085419900009583,0.06085124560013355,0.027884651199929066,0.005153848999907495
30,0.011646502100120415,0.06915194970024459,0.07296782869998424,0.07303331440016336,0.03257835670010536,0.005385266899975249
35,0.011646502100120415,0.08048620459994708,0.08487501840027108,0.08419516179965285,0.042781189099696346,0.005757350400017458
40,0.011646502100120415,0.09179630979997455,0.09618605239993486,0.09618777280011273,0.042668304400285705,0.005927672700272524
45,0.011646502100120415,0.10519862450018991,0.10768619410009705,0.10930320150000625,0.04776832460011064,0.00735987859989109
50,0.011646502100120415,0.11699842890011496,0.12070593049975287,0.12494890009984375,0.05208459440000297,0.007418852399860043
