attributes,setup,keygen,and encrypt,or encrypt,and decrypt,or decrypt
1,0.016935,0.016397,0.024559,0.024136,0.024767,0.023888
5,0.016935,0.038245,0.042065,0.042223,0.024515,0.023957
10,0.016935,0.065289,0.065766,0.064088,0.024704,0.023937
15,0.016935,0.092168,0.086033,0.086533,0.024397,0.024132
20,0.016935,0.12165,0.10846,0.10837,0.024701,0.023836
25,0.016935,0.15131,0.1336,0.13066,0.024233,0.024123
30,0.016935,0.17692,0.15386,0.15478,0.024137,0.024096
35,0.016935,0.20423,0.17816,0.17465,0.02432,0.023817
40,0.016935,0.22881,0.1996,0.19605,0.024962,0.023812
45,0.016935,0.2641,0.21911,0.22197,0.025111,0.023936
50,0.016935,0.29074,0.24179,0.24874,0.024983,0.024032
