attributes,setup,keygen,transform_keygen,and_encrypt,or_encrypt,and_transform,or_transform,and_decrypt,or_decrypt
1,0.012548,0.0061627,0.004623,0.010966,0.011043,0.012371,0.011829,0.0034094,0.0033792
5,0.012548,0.018644,0.01087,0.017032,0.017132,0.02995,0.011809,0.0035843,0.0033995
10,0.012548,0.033929,0.018647,0.024579,0.024799,0.05227,0.011853,0.0032875,0.0035701
15,0.012548,0.048868,0.026167,0.032609,0.033248,0.073332,0.011893,0.003432,0.0032942
20,0.012548,0.06498,0.033873,0.041079,0.041905,0.095873,0.0119,0.0033691,0.0034269
25,0.012548,0.07939,0.04186,0.047623,0.047512,0.11682,0.011939,0.0033485,0.0033971
30,0.012548,0.096362,0.049333,0.054933,0.056439,0.13963,0.011997,0.0032427,0.0035265
35,0.012548,0.11005,0.056779,0.06478,0.064389,0.15959,0.012055,0.0034059,0.0033719
40,0.012548,0.12592,0.064705,0.070932,0.070991,0.18148,0.012188,0.0033795,0.0033887
45,0.012548,0.14154,0.073713,0.080842,0.0791,0.20166,0.012135,0.0034101,0.0035763
50,0.012548,0.15773,0.079925,0.087465,0.088325,0.22341,0.01209,0.0034489,0.0035381
