attributes,hybrid 1,hybrid 2,hybrid 4,hybrid 8,hybrid 16,hybrid 32,hybrid 64,hybrid 128,hybrid 256,hybrid 512,hybrid 1024,hybrid 2048,hybrid 4096,hybrid 8192,hybrid 16384,hybrid 32768,hybrid 65536,hybrid 131072,hybrid 262144,hybrid 524288,hybrid 1048576,hybrid 2097152,hybrid 4194304,hybrid 8388608,hybrid 16777216
1,1594,1592,1594,1589,1613,1634,1677,1763,1933,2275,2958,4321,7054,12515,23439,45283,88974,176352,351119,700643,1399695,2797793,5593999,11186403,22371213
5,4334,4331,4331,4333,4350,4375,4418,4496,4670,5014,5696,7061,9791,15248,26177,48020,91712,179091,353859,703381,1402433,2800531,5596735,11189141,22373953
10,7752,7755,7752,7755,7775,7790,7841,7923,8089,8436,9118,10486,13211,18675,29601,51443,95136,182516,357281,706804,1405856,2803954,5600157,11192566,22377377
15,11198,11192,11197,11198,11215,11236,11279,11365,11537,11875,12558,13920,16657,22117,33036,54882,98578,185955,360715,710244,1409297,2807399,5603606,11196009,22380816
20,14641,14638,14639,14637,14663,14677,14724,14809,14978,15323,16004,17366,20092,25564,36483,58323,102026,189402,364167,713690,1412737,2810843,5607046,11199451,22384256
25,18081,18079,18084,18088,18104,18120,18162,18252,18417,18762,19448,20808,23540,29006,39927,61771,105456,192835,367603,717131,1416176,2814283,5610482,11202888,22387705
30,21524,21519,21521,21529,21538,21567,21604,21689,21859,22204,22889,24252,26982,32444,43371,65206,108905,196280,371049,720575,1419627,2817727,5613933,11206334,22391151
35,24970,24964,24964,24960,24991,25008,25050,25143,25305,25646,26326,27681,30427,35890,46810,68659,112345,199724,374495,724024,1423069,2821171,5617374,11209779,22394587
40,28412,28407,28399,28409,28429,28453,28491,28577,28752,29090,29771,31140,33871,39329,50255,72105,115790,203172,377938,727467,1426516,2824608,5620814,11213214,22398025
45,31856,31851,31846,31851,31871,31890,31932,32016,32190,32522,33207,34588,37307,42771,53700,75536,119230,206615,381376,730897,1429957,2828054,5624245,11216661,22401470
50,35282,35295,35299,35291,35316,35329,35374,35469,35641,35976,36660,38027,40754,46221,57141,78982,122675,210049,384818,734340,1433390,2831499,5627708,11220102,22404917
