attributes,hybrid 1,hybrid 2,hybrid 4,hybrid 8,hybrid 16,hybrid 32,hybrid 64,hybrid 128,hybrid 256,hybrid 512,hybrid 1024,hybrid 2048,hybrid 4096,hybrid 8192,hybrid 16384,hybrid 32768,hybrid 65536,hybrid 131072,hybrid 262144,hybrid 524288,hybrid 1048576,hybrid 2097152,hybrid 4194304,hybrid 8388608,hybrid 16777216
1,2498,2500,2519,2517,2560,2601,2688,3012,3497,4395,6466,10324,18244,34155,64681,128043,253354,505238,1006788,2008834,4015788,8034752,16062275,32106454,64231211
5,6392,6397,6405,6416,6461,6495,6588,6908,7394,8289,10364,14222,22141,38053,68583,131942,257253,509138,1010681,2012730,4019681,8038655,16066171,32110352,64235109
10,11267,11266,11289,11286,11333,11376,11459,11781,12269,13161,15233,19093,27011,42927,73447,136806,262123,514007,1015551,2017601,4024556,8043518,16071042,32115227,64239979
15,16149,16140,16167,16169,16213,16248,16341,16660,17150,18046,20114,23977,31890,47804,78338,141695,267003,518887,1020439,2022484,4029438,8048402,16075925,32120097,64244864
20,21030,21030,21054,21053,21096,21127,21223,21541,22027,22915,24991,28854,36780,52682,83210,146566,271877,523770,1025312,2027365,4034314,8053284,16080810,32124986,64249740
25,25907,25918,25926,25925,25970,26017,26105,26426,26915,27812,29875,33751,41662,57565,88093,151463,276760,528644,1030196,2032252,4039196,8058160,16085688,32129861,64254622
30,30797,30793,30811,30812,30852,30894,30988,31305,31788,32689,34763,38604,46537,62450,92978,156338,281647,533530,1035094,2037125,4044082,8063046,16090571,32134747,64259491
35,35675,35668,35694,35700,35741,35775,35865,36186,36671,37567,39639,43503,51410,67332,97859,161219,286528,538413,1039960,2042009,4048958,8067926,16095446,32139632,64264381
40,40553,40545,40577,40571,40616,40670,40744,41061,41548,42440,44525,48388,56289,72216,102737,166110,291416,543300,1044848,2046887,4053846,8072806,16100335,32144521,64269271
45,45439,45438,45453,45462,45492,45552,45624,45941,46420,47341,49409,53251,61183,77091,107614,170980,296282,548173,1049724,2051773,4058714,8077699,16105209,32149383,64274146
50,50319,50314,50328,50336,50372,50415,50502,50824,51313,52217,54274,58136,66067,81981,112505,175852,301177,553051,1054608,2056646,4063595,8082585,16110098,32154271,64279030
