attributes,hybrid 1,hybrid 2,hybrid 4,hybrid 8,hybrid 16,hybrid 32,hybrid 64,hybrid 128,hybrid 256,hybrid 512,hybrid 1024,hybrid 2048,hybrid 4096,hybrid 8192,hybrid 16384,hybrid 32768,hybrid 65536,hybrid 131072,hybrid 262144,hybrid 524288,hybrid 1048576,hybrid 2097152,hybrid 4194304,hybrid 8388608,hybrid 16777216
1,1951,1951,1951,1952,1972,1992,2036,2119,2291,2628,3315,4679,7411,12871,23795,45638,89330,176710,351475,701000,1400051,2798151,5594354,11186759,22371570
5,7377,7372,7373,7371,7396,7415,7458,7546,7715,8052,8741,10102,12838,18296,29218,51065,94753,182136,356897,706421,1405479,2803577,5599780,11192186,22376996
10,14156,14158,14153,14156,14173,14193,14237,14323,14499,14837,15523,16885,19614,25078,36000,57835,101534,188916,363675,713203,1412253,2810354,5606567,11198960,22383782
15,20962,20962,20962,20963,20984,21006,21041,21134,21303,21640,22327,23690,26414,31882,42804,64650,108338,195714,370491,720011,1419061,2817165,5613359,11205764,22390576
20,27767,27757,27764,27769,27787,27805,27834,27934,28106,28440,29131,30498,33217,38685,49618,71455,115141,202522,377290,726819,1425873,2823962,5620169,11212574,22397387
25,34572,34570,34570,34569,34583,34608,34658,34738,34903,35248,35935,37300,40030,45492,56413,78261,121947,209341,384092,733616,1432672,2830767,5626975,11219381,22404186
30,41366,41380,41373,41371,41399,41415,41457,41538,41718,42054,42736,44100,46838,52282,63218,85057,128752,216141,390890,740431,1439471,2837582,5633786,11226171,22410994
35,48171,48180,48175,48185,48201,48220,48265,48344,48518,48865,49538,50914,53639,59105,70021,91860,135566,222942,397703,747234,1446275,2844381,5640566,11232973,22417799
40,54980,54982,54989,54993,55001,55027,55069,55146,55326,55680,56353,57715,60438,65911,76827,98679,142355,229745,404514,754035,1453080,2851174,5647393,11239781,22424600
45,61791,61785,61797,61795,61815,61825,61869,61968,62132,62469,63152,64530,67243,72708,83641,105481,149171,236554,411323,760834,1459895,2857987,5654186,11246600,22431413
50,68584,68595,68605,68592,68611,68645,68664,68756,68934,69274,69961,71312,74047,79505,90448,112289,155968,243350,418105,767655,1466695,2864799,5660999,11253394,22438221
