attributes,hybrid 1,hybrid 2,hybrid 4,hybrid 8,hybrid 16,hybrid 32,hybrid 64,hybrid 128,hybrid 256,hybrid 512,hybrid 1024,hybrid 2048,hybrid 4096,hybrid 8192,hybrid 16384,hybrid 32768,hybrid 65536,hybrid 131072,hybrid 262144,hybrid 524288,hybrid 1048576,hybrid 2097152,hybrid 4194304,hybrid 8388608,hybrid 16777216
1,1591,1591,1591,1592,1612,1631,1676,1759,1931,2271,2953,4319,7052,12512,23436,45280,88967,176350,351116,700640,1399692,2797792,5593996,11186398,22371209
5,4328,4330,4327,4329,4351,4371,4413,4498,4668,5012,5695,7059,9789,15247,26175,48017,91711,179090,353854,703377,1402428,2800530,5596732,11189136,22373949
10,7747,7749,7753,7748,7774,7789,7835,7919,8089,8428,9112,10483,13209,18672,29593,51441,95130,182512,357274,706797,1405849,2803949,5600153,11192559,22377369
15,11193,11195,11194,11198,11213,11231,11279,11367,11532,11875,12559,13922,16656,22114,33035,54883,98571,185951,360717,710248,1409292,2807392,5603600,11196001,22380815
20,14635,14636,14635,14631,14658,14679,14724,14805,14981,15320,15996,17367,20100,25554,36480,58324,102016,189398,364165,713684,1412738,2810834,5607040,11199443,22384255
25,18080,18079,18079,18078,18094,18124,18164,18242,18415,18763,19446,20802,23539,28995,39920,61760,105455,192841,367610,717127,1416177,2814274,5610485,11202893,22387687
30,21521,21516,21520,21523,21538,21561,21602,21690,21860,22202,22885,24240,26980,32446,43367,65204,108905,196282,371039,720569,1419624,2817715,5613921,11206330,22391147
35,24962,24962,24970,24965,24992,25002,25042,25132,25308,25641,26337,27693,30413,35880,46804,68648,112344,199723,374497,724017,1423066,2821164,5617368,11209766,22394578
40,28411,28401,28411,28404,28426,28448,28492,28576,28744,29091,29774,31127,33865,39330,50252,72086,115788,203158,377933,727458,1426509,2824612,5620807,11213215,22398030
45,31846,31843,31852,31855,31871,31895,31938,32018,32190,32528,33216,34583,37305,42762,53693,75538,119234,206601,381374,730897,1429952,2828057,5624252,11216653,22401467
50,35299,35288,35290,35294,35314,35338,35369,35446,35634,35976,36650,38014,40746,46211,57138,78981,122669,210055,384814,734346,1433397,2831488,5627699,11220105,22404918
