attributes,hybrid 1,hybrid 2,hybrid 4,hybrid 8,hybrid 16,hybrid 32,hybrid 64,hybrid 128,hybrid 256,hybrid 512,hybrid 1024,hybrid 2048,hybrid 4096,hybrid 8192,hybrid 16384,hybrid 32768,hybrid 65536,hybrid 131072,hybrid 262144,hybrid 524288,hybrid 1048576,hybrid 2097152,hybrid 4194304,hybrid 8388608,hybrid 16777216
1,1883,1882,1883,1902,1947,2009,2095,2395,2880,3885,5721,9690,17279,33561,64794,126851,253979,504578,1005442,2008023,4017774,8030508,16050971,32106863,64229851
5,5732,5731,5732,5753,5797,5856,5943,6243,6731,7736,9566,13530,21133,37412,68644,130698,257825,508427,1009292,2011876,4021622,8034357,16054821,32110708,64233698
10,10540,10542,10545,10566,10603,10666,10758,11056,11542,12548,14378,18351,25937,42226,73455,135514,262638,513235,1014104,2016685,4026436,8039171,16059630,32115525,64238513
15,15373,15375,15374,15393,15433,15501,15578,15888,16377,17374,19214,23181,30776,47057,78282,140336,267469,518064,1018936,2021517,4031270,8043998,16064452,32120354,64243341
20,20205,20207,20203,20224,20263,20330,20413,20721,21206,22207,24040,28015,35603,51887,83121,145166,272295,522899,1023765,2026349,4036087,8048841,16069292,32125184,64248174
25,25033,25030,25037,25052,25103,25166,25249,25547,26031,27033,28870,32844,40441,56715,87950,150007,277134,527737,1028599,2031178,4040923,8053662,16074130,32130014,64253003
30,29863,29865,29870,29896,29927,29997,30081,30375,30875,31872,33694,37668,45274,61547,92775,154837,281970,532551,1033428,2036018,4045761,8058498,16078951,32134840,64257824
35,34708,34693,34693,34711,34763,34826,34908,35209,35692,36698,38546,42497,50105,66377,97609,159661,286806,537391,1038252,2040839,4050579,8063329,16083794,32139678,64262666
40,39521,39528,39531,39550,39590,39654,39728,40052,40533,41532,43365,47339,54919,71211,102435,164505,291624,542234,1043082,2045676,4055424,8068150,16088617,32144507,64267500
45,44355,44366,44356,44380,44428,44499,44571,44877,45361,46374,48188,52171,59757,76039,107274,169330,296459,547061,1047916,2050509,4060251,8072991,16093445,32149346,64272322
50,49196,49195,49184,49211,49246,49323,49411,49702,50196,51199,53028,57004,64589,80882,112108,174152,301293,551894,1052738,2055343,4065081,8077822,16098280,32154184,64277148
