index,single 1,hybrid 1,single 2,hybrid 2,single 4,hybrid 4,single 8,hybrid 8,single 16,hybrid 16,single 32,hybrid 32,single 64,hybrid 64,single 128,hybrid 128,single 256,hybrid 256,single 512,hybrid 512,single 1024,hybrid 1024,single 2048,hybrid 2048,single 4096,hybrid 4096,single 8192,hybrid 8192,single 16384,hybrid 16384,single 32768,hybrid 32768,single 65536,hybrid 65536,single 131072,hybrid 131072,single 262144,hybrid 262144,single 524288,hybrid 524288,single 1048576,hybrid 1048576,single 2097152,hybrid 2097152,single 4194304,hybrid 4194304,single 8388608,hybrid 8388608,single 16777216,hybrid 16777216
1,2367,2427,2368,2428,2370,2430,2374,2434,2382,2442,2398,2458,2430,2490,2494,2554,2622,2682,2878,2938,3390,3450,4414,4474,6462,6522,10558,10618,18750,18810,35134,35194,67902,67962,133438,133498,264510,264570,526654,526714,1050942,1051002,2099518,2099578,4196670,4196730,8390974,8391034,16779582,16779642
5,3803,3863,3804,3864,3806,3866,3810,3870,3818,3878,3834,3894,3866,3926,3930,3990,4058,4118,4314,4374,4826,4886,5850,5910,7898,7958,11994,12054,20186,20246,36570,36630,69338,69398,134874,134934,265946,266006,528090,528150,1052378,1052438,2100954,2101014,4198106,4198166,8392410,8392470,16781018,16781078
10,5598,5658,5599,5659,5601,5661,5605,5665,5613,5673,5629,5689,5661,5721,5725,5785,5853,5913,6109,6169,6621,6681,7645,7705,9693,9753,13789,13849,21981,22041,38365,38425,71133,71193,136669,136729,267741,267801,529885,529945,1054173,1054233,2102749,2102809,4199901,4199961,8394205,8394265,16782813,16782873
15,7398,7458,7399,7459,7401,7461,7405,7465,7413,7473,7429,7489,7461,7521,7525,7585,7653,7713,7909,7969,8421,8481,9445,9505,11493,11553,15589,15649,23781,23841,40165,40225,72933,72993,138469,138529,269541,269601,531685,531745,1055973,1056033,2104549,2104609,4201701,4201761,8396005,8396065,16784613,16784673
20,9198,9258,9199,9259,9201,9261,9205,9265,9213,9273,9229,9289,9261,9321,9325,9385,9453,9513,9709,9769,10221,10281,11245,11305,13293,13353,17389,17449,25581,25641,41965,42025,74733,74793,140269,140329,271341,271401,533485,533545,1057773,1057833,2106349,2106409,4203501,4203561,8397805,8397865,16786413,16786473
25,10998,11058,10999,11059,11001,11061,11005,11065,11013,11073,11029,11089,11061,11121,11125,11185,11253,11313,11509,11569,12021,12081,13045,13105,15093,15153,19189,19249,27381,27441,43765,43825,76533,76593,142069,142129,273141,273201,535285,535345,1059573,1059633,2108149,2108209,4205301,4205361,8399605,8399665,16788213,16788273
30,12798,12858,12799,12859,12801,12861,12805,12865,12813,12873,12829,12889,12861,12921,12925,12985,13053,13113,13309,13369,13821,13881,14845,14905,16893,16953,20989,21049,29181,29241,45565,45625,78333,78393,143869,143929,274941,275001,537085,537145,1061373,1061433,2109949,2110009,4207101,4207161,8401405,8401465,16790013,16790073
35,14598,14658,14599,14659,14601,14661,14605,14665,14613,14673,14629,14689,14661,14721,14725,14785,14853,14913,15109,15169,15621,15681,16645,16705,18693,18753,22789,22849,30981,31041,47365,47425,80133,80193,145669,145729,276741,276801,538885,538945,1063173,1063233,2111749,2111809,4208901,4208961,8403205,8403265,16791813,16791873
40,16398,16458,16399,16459,16401,16461,16405,16465,16413,16473,16429,16489,16461,16521,16525,16585,16653,16713,16909,16969,17421,17481,18445,18505,20493,20553,24589,24649,32781,32841,49165,49225,81933,81993,147469,147529,278541,278601,540685,540745,1064973,1065033,2113549,2113609,4210701,4210761,8405005,8405065,16793613,16793673
45,18198,18258,18199,18259,18201,18261,18205,18265,18213,18273,18229,18289,18261,18321,18325,18385,18453,18513,18709,18769,19221,19281,20245,20305,22293,22353,26389,26449,34581,34641,50965,51025,83733,83793,149269,149329,280341,280401,542485,542545,1066773,1066833,2115349,2115409,4212501,4212561,8406805,8406865,16795413,16795473
50,19998,20058,19999,20059,20001,20061,20005,20065,20013,20073,20029,20089,20061,20121,20125,20185,20253,20313,20509,20569,21021,21081,22045,22105,24093,24153,28189,28249,36381,36441,52765,52825,85533,85593,151069,151129,282141,282201,544285,544345,1068573,1068633,2117149,2117209,4214301,4214361,8408605,8408665,16797213,16797273
