index,single 1,hybrid 1,single 2,hybrid 2,single 4,hybrid 4,single 8,hybrid 8,single 16,hybrid 16,single 32,hybrid 32,single 64,hybrid 64,single 128,hybrid 128,single 256,hybrid 256,single 512,hybrid 512,single 1024,hybrid 1024,single 2048,hybrid 2048,single 4096,hybrid 4096,single 8192,hybrid 8192,single 16384,hybrid 16384,single 32768,hybrid 32768,single 65536,hybrid 65536,single 131072,hybrid 131072,single 262144,hybrid 262144,single 524288,hybrid 524288,single 1048576,hybrid 1048576,single 2097152,hybrid 2097152,single 4194304,hybrid 4194304,single 8388608,hybrid 8388608,single 16777216,hybrid 16777216
1,2250,2311,2249,2311,2249,2313,2249,2317,2266,2326,2280,2342,2313,2372,2376,2437,2508,2566,2763,2822,3276,3333,4299,4357,6347,6406,10444,10501,18635,18692,35020,35077,67789,67843,133326,133381,264398,264454,526542,526596,1050830,1050886,2099404,2099462,4196558,4196613,8390862,8390918,16779472,16779525
5,3793,3854,3792,3855,3792,3856,3791,3861,3807,3869,3826,3885,3858,3917,3923,3980,4049,4109,4306,4366,4817,4876,5842,5901,7892,7949,11987,12046,20180,20234,36562,36621,69330,69388,134870,134925,265942,265994,528084,528142,1052373,1052428,2100949,2101005,4198100,4198156,8392406,8392462,16781015,16781068
10,5723,5784,5724,5783,5723,5785,5723,5788,5735,5800,5754,5813,5787,5847,5852,5910,5982,6039,6230,6294,6749,6806,7771,7831,9821,9880,13916,13974,22109,22167,38491,38549,71260,71320,136797,136853,267872,267924,530015,530069,1054303,1054358,2102878,2102935,4200029,4200086,8394334,8394390,16782942,16782997
15,7658,7719,7657,7718,7655,7719,7655,7724,7672,7733,7685,7749,7719,7781,7787,7843,7914,7968,8168,8228,8681,8739,9704,9763,11754,11813,15852,15909,24042,24099,40426,40484,73195,73249,138730,138787,269805,269859,531948,532005,1056236,1056290,2104812,2104866,4201962,4202020,8396268,8396326,16784879,16784931
20,9586,9651,9589,9651,9590,9651,9591,9658,9607,9666,9624,9684,9656,9711,9718,9776,9849,9900,10102,10160,10615,10678,11638,11699,13691,13746,17784,17845,25978,26033,42360,42419,75130,75188,140669,140725,271737,271797,533883,533937,1058171,1058228,2106746,2106805,4203898,4203954,8398205,8398256,16786812,16786867
25,11524,11586,11528,11587,11526,11590,11525,11594,11543,11603,11557,11617,11592,11651,11656,11714,11784,11840,12037,12099,12552,12607,13578,13632,15624,15681,19718,19776,27910,27969,44295,44355,77066,77116,142596,142651,273675,273730,535819,535871,1060105,1060163,2108680,2108734,4205833,4205890,8400137,8400194,16788747,16788801
30,13460,13517,13460,13524,13459,13519,13459,13528,13476,13538,13492,13551,13523,13584,13588,13645,13714,13775,13976,14028,14486,14545,15507,15569,17556,17608,21654,21712,29846,29902,46228,46284,79002,79053,144537,144589,275602,275662,537755,537810,1062037,1062095,2110615,2110668,4207766,4207822,8402069,8402126,16790681,16790736
35,15395,15455,15396,15452,15392,15460,15394,15461,15411,15468,15429,15485,15456,15515,15518,15579,15647,15709,15908,15965,16415,16474,17444,17501,19492,19548,23585,23647,31778,31835,48163,48222,80933,80989,146466,146525,277541,277597,539686,539742,1063973,1064024,2112548,2112605,4209703,4209759,8404001,8404061,16792618,16792671
40,17325,17388,17326,17385,17325,17390,17327,17394,17341,17401,17358,17419,17392,17449,17457,17512,17582,17643,17841,17900,18350,18405,19379,19430,21421,21481,25520,25579,33709,33775,50099,50155,82864,82926,148403,148458,279480,279532,541620,541674,1065906,1065969,2114482,2114538,4211635,4211694,8405936,8405994,16794547,16794600
45,19262,19319,19260,19322,19261,19324,19261,19321,19279,19334,19297,19355,19322,19386,19384,19448,19518,19571,19772,19833,20281,20344,21308,21368,23356,23416,27455,27514,35648,35705,52031,52090,84801,84859,150339,150391,281411,281466,543554,543608,1067842,1067896,2116411,2116476,4213568,4213626,8407876,8407925,16796476,16796540
50,21196,21260,21193,21256,21192,21258,21195,21264,21211,21270,21232,21287,21254,21315,21323,21384,21446,21513,21713,21763,22223,22280,23247,23306,25295,25351,29393,29453,37583,37639,53965,54019,86738,86792,152274,152332,283345,283397,545486,545546,1069779,1069833,2118342,2118406,4215504,4215558,8409806,8409864,16798418,16798470
