attributes,hybrid 1,hybrid 2,hybrid 4,hybrid 8,hybrid 16,hybrid 32,hybrid 64,hybrid 128,hybrid 256,hybrid 512,hybrid 1024,hybrid 2048,hybrid 4096,hybrid 8192,hybrid 16384,hybrid 32768,hybrid 65536,hybrid 131072,hybrid 262144,hybrid 524288,hybrid 1048576,hybrid 2097152,hybrid 4194304,hybrid 8388608,hybrid 16777216
1,540,544,544,552,560,584,624,712,884,1224,1908,3272,6004,11464,22388,44232,87928,175312,350072,699600,1398648,2796752,5592952,11185360,22370168
5,1348,1348,1352,1356,1368,1388,1432,1516,1688,2032,2712,4080,6808,12272,23192,45040,88736,176116,350880,700404,1399456,2797556,5593760,11186164,22370976
10,2352,2356,2356,2364,2372,2396,2436,2524,2696,3036,3720,5084,7816,13276,24200,46044,89740,177124,351884,701412,1400460,2798564,5594764,11187172,22371980
15,3380,3380,3384,3388,3400,3420,3464,3548,3724,4064,4748,6112,8844,14304,25228,47072,90768,178148,352912,702436,1401488,2799588,5595792,11188196,22373008
20,4408,4408,4412,4416,4428,4448,4492,4576,4752,5092,5776,7140,9872,15332,26256,48100,91796,179176,353940,703464,1402516,2800616,5596820,11189224,22374036
25,5436,5436,5440,5444,5456,5476,5520,5604,5776,6120,6800,8168,10896,16360,27280,49128,92824,180204,354968,704492,1403544,2801644,5597848,11190252,22375064
30,6460,6464,6464,6472,6480,6504,6544,6632,6804,7144,7828,9192,11924,17384,28308,50152,93848,181232,355992,705520,1404568,2802672,5598872,11191280,22376088
35,7488,7488,7492,7496,7508,7528,7572,7656,7832,8172,8856,10220,12952,18412,29336,51180,94876,182256,357020,706544,1405596,2803696,5599900,11192304,22377116
40,8516,8516,8520,8524,8536,8556,8600,8684,8856,9200,9880,11248,13976,19440,30360,52208,95904,183284,358048,707572,1406624,2804724,5600928,11193332,22378144
45,9540,9544,9544,9552,9560,9584,9624,9712,9884,10224,10908,12272,15004,20464,31388,53232,96928,184312,359072,708600,1407648,2805752,5601952,11194360,22379168
50,10568,10568,10572,10576,10588,10608,10652,10736,10912,11252,11936,13300,16032,21492,32416,54260,97956,185336,360100,709624,1408676,2806776,5602980,11195384,22380196
