attributes,single 1,single 2,single 4,single 8,single 16,single 32,single 64,single 128,single 256,single 512,single 1024,single 2048,single 4096,single 8192,single 16384,single 32768,single 65536,single 131072,single 262144,single 524288,single 1048576,single 2097152,single 4194304,single 8388608,single 16777216
1,857,858,860,864,872,888,920,984,1112,1368,1880,2904,4952,9048,17240,33624,66392,131928,263000,525144,1049432,2098008,4195160,8389464,16778072
5,2165,2166,2168,2172,2180,2196,2228,2292,2420,2676,3188,4212,6260,10356,18548,34932,67700,133236,264308,526452,1050740,2099316,4196468,8390772,16779380
10,3804,3805,3807,3811,3819,3835,3867,3931,4059,4315,4827,5851,7899,11995,20187,36571,69339,134875,265947,528091,1052379,2100955,4198107,8392411,16781019
15,5454,5455,5457,5461,5469,5485,5517,5581,5709,5965,6477,7501,9549,13645,21837,38221,70989,136525,267597,529741,1054029,2102605,4199757,8394061,16782669
20,7104,7105,7107,7111,7119,7135,7167,7231,7359,7615,8127,9151,11199,15295,23487,39871,72639,138175,269247,531391,1055679,2104255,4201407,8395711,16784319
25,8754,8755,8757,8761,8769,8785,8817,8881,9009,9265,9777,10801,12849,16945,25137,41521,74289,139825,270897,533041,1057329,2105905,4203057,8397361,16785969
30,10404,10405,10407,10411,10419,10435,10467,10531,10659,10915,11427,12451,14499,18595,26787,43171,75939,141475,272547,534691,1058979,2107555,4204707,8399011,16787619
35,12054,12055,12057,12061,12069,12085,12117,12181,12309,12565,13077,14101,16149,20245,28437,44821,77589,143125,274197,536341,1060629,2109205,4206357,8400661,16789269
40,13704,13705,13707,13711,13719,13735,13767,13831,13959,14215,14727,15751,17799,21895,30087,46471,79239,144775,275847,537991,1062279,2110855,4208007,8402311,16790919
45,15354,15355,15357,15361,15369,15385,15417,15481,15609,15865,16377,17401,19449,23545,31737,48121,80889,146425,277497,539641,1063929,2112505,4209657,8403961,16792569
50,17004,17005,17007,17011,17019,17035,17067,17131,17259,17515,18027,19051,21099,25195,33387,49771,82539,148075,279147,541291,1065579,2114155,4211307,8405611,16794219
