attributes,single 1,single 2,single 4,single 8,single 16,single 32,single 64,single 128,single 256,single 512,single 1024,single 2048,single 4096,single 8192,single 16384,single 32768,single 65536,single 131072,single 262144,single 524288,single 1048576,single 2097152,single 4194304,single 8388608,single 16777216
1,1351,1352,1354,1358,1366,1382,1414,1478,1606,1862,2374,3398,5446,9542,17734,34118,66886,132422,263494,525638,1049926,2098502,4195654,8389958,16778566
5,2679,2680,2682,2686,2694,2710,2742,2806,2934,3190,3702,4726,6774,10870,19062,35446,68214,133750,264822,526966,1051254,2099830,4196982,8391286,16779894
10,4339,4340,4342,4346,4354,4370,4402,4466,4594,4850,5362,6386,8434,12530,20722,37106,69874,135410,266482,528626,1052914,2101490,4198642,8392946,16781554
15,6009,6010,6012,6016,6024,6040,6072,6136,6264,6520,7032,8056,10104,14200,22392,38776,71544,137080,268152,530296,1054584,2103160,4200312,8394616,16783224
20,7679,7680,7682,7686,7694,7710,7742,7806,7934,8190,8702,9726,11774,15870,24062,40446,73214,138750,269822,531966,1056254,2104830,4201982,8396286,16784894
25,9349,9350,9352,9356,9364,9380,9412,9476,9604,9860,10372,11396,13444,17540,25732,42116,74884,140420,271492,533636,1057924,2106500,4203652,8397956,16786564
30,11019,11020,11022,11026,11034,11050,11082,11146,11274,11530,12042,13066,15114,19210,27402,43786,76554,142090,273162,535306,1059594,2108170,4205322,8399626,16788234
35,12689,12690,12692,12696,12704,12720,12752,12816,12944,13200,13712,14736,16784,20880,29072,45456,78224,143760,274832,536976,1061264,2109840,4206992,8401296,16789904
40,14359,14360,14362,14366,14374,14390,14422,14486,14614,14870,15382,16406,18454,22550,30742,47126,79894,145430,276502,538646,1062934,2111510,4208662,8402966,16791574
45,16029,16030,16032,16036,16044,16060,16092,16156,16284,16540,17052,18076,20124,24220,32412,48796,81564,147100,278172,540316,1064604,2113180,4210332,8404636,16793244
50,17699,17700,17702,17706,17714,17730,17762,17826,17954,18210,18722,19746,21794,25890,34082,50466,83234,148770,279842,541986,1066274,2114850,4212002,8406306,16794914
